galaxy,trgb_mu,trgb_mu_err,source,galaxy_norm
NGC 1309,32.52,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC1309
NGC 1365,31.36,0.04,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC1365
NGC 1448,31.32,0.04,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC1448
NGC 1559,31.44,0.04,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC1559
NGC 2442,31.45,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC2442
NGC 3021,32.42,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC3021
NGC 3370,32.09,0.04,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC3370
NGC 3972,31.6,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC3972
NGC 4038,31.61,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC4038
NGC 4424,31.04,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC4424
NGC 4536,30.96,0.04,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC4536
NGC 4639,31.8,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC4639
NGC 5584,31.82,0.04,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC5584
NGC 5643,30.48,0.05,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC5643
NGC 5861,32.26,0.06,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC5861
NGC 5917,32.3,0.06,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC5917
NGC 7250,31.51,0.06,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC7250
NGC 1015,32.63,0.06,Freedman et al. 2024 CCHP (arXiv:2408.06153),NGC1015
