PGC1,DMzp,e_DMzp,Dist,Vh,Vls,V3k,Vpds,Vpwf,Vpec,Hi,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,SGX,SGY,SGZ
12,34.995,0.41,99.8,6532,6669,6179,-1174,-468,-468,62.9,0.020610925442293815,0.036,-6.3739,90.1922,-65.93,286.4249,11.351,1848,-6271,1312
14,36.095,0.38,165.6,11837,12035,11474,-575,-244,-244,71.4,0.03827314428303597,359.9805,8.1846,101.66,-52.5465,300.807,15.3909,5942,-9967,3194
16,34.655,0.45,85.3,5709,5851,5354,-948,-380,-380,63.6,0.01785902165690906,0.047,-5.1587,91.6006,-64.8655,287.612,11.703,1733,-5461,1187
35,29.73,0.1,8.8,335,618,28,-633,-38,-510,3.2,9.339794665548257e-05,0.0938,39.4955,112.3102,-22.3207,333.3464,20.3429,518,-260,215
55,34.245,0.39,70.6,4791,5064,4466,-765,-307,-307,64.0,0.014896972491549471,0.1558,33.601,110.9495,-28.0857,327.0996,19.7763,4001,-2589,1713
63,35.245,0.41,111.9,8743,9004,8404,189,83,83,76.7,0.0280327265604527,359.9938,28.2883,109.3762,-33.2252,321.4869,19.2652,6651,-5294,2971
68,34.735,0.56,88.5,7684,7759,7358,844,388,388,84.7,0.02454364612468003,0.2305,-18.959,65.4189,-75.8101,274.3903,7.177,589,-7676,969
70,35.325,0.39,116.1,6803,7043,6450,-2090,-791,-791,56.5,0.02151488414028081,0.2334,20.3381,107.1779,-40.9836,313.2488,17.7663,4595,-4886,2149
75,36.384,0.345,189.1,11750,11700,11521,-2212,-884,-884,62.8,0.0384299194077791,0.3388,-43.6117,331.2258,-70.6612,251.2392,-1.4353,-3762,-11074,-293
76,34.885,0.39,94.8,6903,7166,6566,-423,-178,-178,70.4,0.021901818490710663,0.2454,28.9118,109.8059,-32.6706,322.1729,19.1316,5347,-4152,2348
80,35.675,0.5,136.5,9148,9332,8786,-1204,-492,-492,65.9,0.02930694140410964,0.2698,4.5407,100.0199,-56.0745,297.2349,14.1936,4139,-8044,2288
92,32.845,0.5,37.1,5987,6202,5626,2903,1751,1751,154.0,0.018766315995848035,0.3123,13.1125,104.5148,-47.9564,305.8667,16.2222,3489,-4827,1733
94,34.025,0.5,63.8,4113,4382,4010,-723,-289,-289,63.5,0.013375920217445898,0.5038,80.6418,120.8356,17.9718,16.89,17.6394,3996,1213,1328
96,36.565,0.41,205.6,14751,14941,14388,-465,-199,-199,72.6,0.04799320201711012,0.2844,6.3372,101.1155,-54.39,299.0317,14.6401,7014,-12640,3776
102,34.485,0.39,78.9,5033,5308,4711,-1125,-439,-439,60.5,0.015714204524784944,0.3323,34.5259,111.3397,-27.2154,328.0932,19.7275,4241,-2641,1792
109,33.822,0.283,58.1,4836,5104,4506,197,87,87,78.4,0.015030398129628732,0.587,31.3872,110.7967,-30.3251,324.8117,19.16,3940,-2779,1675
115,36.25,0.59,177.8,14406,14551,14051,1179,533,533,81.9,0.046869091016292344,0.4386,-4.3469,93.2688,-64.3186,288.5214,11.5692,4527,-13518,2918
120,34.062,0.308,64.9,4355,4603,4007,-807,-320,-320,62.4,0.013365913294589953,0.415,23.4881,108.4116,-37.9761,316.5396,18.1559,3175,-3009,1434
123,35.89,0.56,150.7,11300,11397,10964,-19,-8,-8,74.9,0.03657196739752539,0.4001,-14.7486,77.2885,-73.0342,278.46,8.4002,1658,-11152,1665
124,34.515,0.39,80.0,6348,6527,5986,80,35,35,76.0,0.019967146738561384,0.4027,3.5056,99.5867,-57.0904,296.2413,13.7943,2802,-5685,1556
128,36.035,0.46,161.1,12572,12841,12243,535,237,237,78.5,0.04083825217510976,0.4232,32.1078,110.8226,-29.5916,325.5516,19.3854,9988,-6853,4262
143,24.91,0.1,1.0,-121,-28,-455,-526,0,-526,0.0,-0.0015177166331515918,0.4926,-15.461,75.8635,-73.6245,277.8077,8.086,-4,27,-4
145,35.565,0.39,129.7,9721,9751,9425,-68,-29,-29,74.5,0.03143841597242583,0.4884,-27.9995,25.5364,-79.0033,265.9224,3.8953,-693,-9704,662
146,34.295,0.47,72.3,6359,6590,6003,665,306,306,84.4,0.020023852634745067,0.5133,17.5739,106.5495,-43.7213,310.46,16.9746,4090,-4796,1924
155,34.435,0.53,77.1,7940,8153,7579,1912,951,951,100.3,0.025280822775067945,0.5163,12.531,104.5493,-48.5706,305.3231,15.8984,4533,-6398,2233
164,35.385,0.39,119.4,8651,8832,8289,-471,-199,-199,70.9,0.027649127850974824,0.6428,4.1324,100.3958,-56.586,296.9288,13.728,3885,-7649,2096
168,34.045,0.42,64.4,7833,8011,7472,2744,1470,1470,118.3,0.02492390919320592,0.7049,3.473,100.0867,-57.2264,296.291,13.4948,3450,-6985,1869
171,33.185,0.48,43.4,2419,2695,2296,-931,-340,-400,53.3,0.007658631625749572,0.5875,77.2569,120.1543,14.6507,13.3827,18.2069,2491,593,842
176,34.995,0.39,99.8,6341,6488,5985,-1369,-537,-537,60.9,0.0199638110976094,0.6643,-3.6755,94.3987,-63.8115,289.2439,11.5494,2095,-6002,1299
179,34.155,0.39,67.8,5901,6100,5539,529,241,241,82.9,0.018476115233025642,0.6662,8.7371,103.0009,-52.2371,301.5331,14.8675,3083,-5026,1565
186,35.255,0.39,112.5,7885,8119,7530,-734,-305,-305,68.3,0.02511737636842085,0.6932,18.8863,107.2409,-42.4979,311.8408,17.066,5177,-5783,2383
205,35.065,0.39,103.0,7300,7456,6943,-641,-267,-267,68.6,0.0231593551296077,0.7735,-1.9137,96.2229,-62.2519,290.9997,11.9506,2613,-6810,1544
211,36.098,0.243,165.8,10417,10313,10244,-1839,-738,-738,63.4,0.0341703059120987,0.9055,-54.269,317.6049,-61.476,241.3354,-5.4383,-4925,-9008,-977
212,36.475,0.4,197.2,11218,11442,10860,-3453,-1314,-1314,56.6,0.03622506073851931,0.7969,15.9657,106.3215,-45.3441,308.8749,16.3793,6889,-8547,3227
218,30.505,0.132,12.6,964,1190,607,-337,-117,-250,48.2,0.002024734057852783,0.8349,16.1462,106.4392,-45.1797,309.0668,16.3813,719,-886,335
222,35.515,0.49,126.8,7551,7796,7202,-2102,-805,-805,57.9,0.024023286136170913,0.8274,22.6417,108.6214,-38.889,315.7318,17.6368,5320,-5187,2362
247,37.115,0.48,264.9,17352,17561,16991,-1987,-821,-821,67.0,0.05667587541511802,0.9117,11.498,104.6638,-49.671,304.3704,15.2864,9562,-13983,4630
250,34.843,0.123,93.0,7242,7488,6894,42,18,18,75.5,0.022995908722960604,0.8959,23.2009,108.8694,-38.3606,316.3212,17.6719,5160,-4928,2273
257,35.225,0.45,110.9,7956,8217,7619,-532,-224,-224,70.1,0.025414248413147204,0.9335,28.5557,110.4106,-33.1535,321.8893,18.4845,6131,-4810,2605
259,34.945,0.41,97.5,6422,6647,6065,-1123,-449,-449,63.2,0.020230662373767923,0.9346,16.1868,106.5852,-45.1656,309.129,16.2962,4026,-4950,1865
262,35.44,0.63,122.5,9025,8973,8796,-179,-77,-77,73.5,0.029340297813629457,0.9529,-43.6183,330.1062,-70.9101,251.3872,-1.8546,-2863,-8499,-290
279,32.325,0.39,29.2,2242,2481,1890,-286,-116,-145,65.1,0.006304361399245074,0.9956,20.7523,108.2286,-40.7606,313.8141,17.1417,1641,-1711,731
280,35.355,0.353,117.8,10471,10380,10282,1679,792,792,89.7,0.034297060268274,1.005,-51.3941,320.0168,-64.1324,244.075,-4.5326,-4525,-9306,-820
282,35.893,0.11,150.9,11264,11376,10921,-78,-34,-34,74.5,0.036428534836590185,1.0062,-11.1742,85.7159,-70.5384,282.0792,8.9703,2351,-10989,1774
292,36.045,0.39,161.8,11874,11787,11681,-92,-40,-40,74.4,0.038963621960096145,1.0626,-50.646,320.6758,-64.8255,244.7939,-4.3153,-5006,-10634,-887
293,35.149,0.342,107.1,7201,7297,6865,-1016,-413,-413,65.3,0.02289917513535314,1.0502,-14.5236,79.4469,-73.2684,278.8786,7.8763,1115,-7142,1000
296,34.935,0.39,97.1,7891,8097,7530,391,174,174,79.1,0.02511737636842085,0.9977,10.7714,104.4665,-50.3915,303.6586,15.0353,4333,-6509,2100
298,33.425,0.39,48.4,4455,4699,4106,513,238,238,85.7,0.013696141748836124,1.0613,22.5881,108.8749,-38.992,315.7164,17.4148,3210,-3131,1406
301,34.325,0.39,73.3,5075,5264,4714,-710,-288,-288,65.1,0.015724211447640888,1.1043,6.1776,102.3575,-54.8049,299.0853,13.8112,2484,-4467,1257
305,33.095,0.39,41.6,3114,3301,2753,-343,-140,-140,66.7,0.009183019540805127,1.12,5.8473,102.2018,-55.1233,298.7605,13.712,1543,-2812,783
309,33.495,0.4,50.0,4776,5047,4452,745,353,353,90.1,0.01485027351822173,1.1364,33.559,111.8448,-28.3012,327.1516,18.9598,4010,-2590,1640
312,33.265,0.46,45.0,3838,3969,3488,145,64,64,78.3,0.011634715640511543,1.2723,-7.0934,92.0568,-67.1443,286.1007,9.964,1084,-3756,687
322,34.88,0.5,94.6,8229,8244,7943,989,457,457,85.7,0.026494996081589218,1.2313,-30.5078,11.8304,-79.2725,263.7831,2.4292,-893,-8188,349
329,34.125,0.47,66.8,7195,7351,6838,1917,970,970,104.2,0.022809112829649637,1.1969,-1.5703,97.3454,-62.1021,291.4585,11.642,2633,-6701,1483
337,35.38,0.54,119.1,9031,8899,8891,160,70,70,76.4,0.0296571837040677,1.2426,-60.0263,313.3381,-56.1533,235.9182,-7.4898,-4945,-7307,-1160
345,34.505,0.65,79.6,6262,6494,5908,28,12,12,75.4,0.019706966744306824,1.247,18.2988,107.7337,-43.198,311.3473,16.4356,4114,-4676,1837
354,34.85,0.276,93.3,6210,6401,5849,-1036,-415,-415,63.6,0.019510163928139916,1.254,6.9357,103.0053,-54.1303,299.8794,13.8586,3096,-5389,1533
367,35.175,0.41,108.4,7409,7495,7078,-895,-367,-367,66.5,0.023609666658125205,1.3197,-16.4769,75.466,-74.9101,277.0957,7.0061,918,-7382,914
378,34.55,0.276,81.3,5335,5518,4974,-1036,-410,-410,62.0,0.016591478095156084,1.398,5.1765,102.2912,-55.8471,298.1668,13.2725,2535,-4735,1267
382,35.647,0.124,134.7,10580,10494,10386,548,244,244,79.2,0.03464396692728007,1.3769,-50.3393,320.5559,-65.1881,245.1508,-4.4012,-4398,-9494,-805
388,29.65,0.1,8.5,726,753,431,-206,-73,-173,50.7,0.0014376612503040353,1.383,-28.0984,24.834,-79.7884,266.0981,3.1192,-51,-750,41
393,35.775,0.41,142.9,9522,9816,9273,-1175,-482,-482,66.5,0.030931398547724642,1.3928,53.6315,116.0841,-8.6294,348.4276,19.8899,9042,-1853,3339
415,34.956,0.119,98.0,7571,7828,7232,20,9,9,75.2,0.024123355364730356,1.2411,27.3869,110.4224,-34.3534,320.7141,18.0434,5761,-4714,2425
424,34.42,0.74,76.6,5749,5846,5412,-248,-105,-105,71.7,0.01805248883212399,1.487,-13.9957,81.7267,-73.1154,279.5193,7.6419,958,-5715,777
426,34.275,0.308,71.6,6643,6887,6295,1011,477,477,89.4,0.020997859792723672,1.468,22.5358,109.3301,-39.1295,315.7325,17.0359,4715,-4597,2018
