sn_name,z,z_frame,mu,mu_source,mu_err,m_b_corr,m_b_corr_err,host_logmass,host_logmass_err,ra,dec,vpec,is_calibrator
2008hj,0.03643,CMB,35.8836,SH0ES,0.185109,16.6306,0.183129,9.9461,0.155,1.008,-11.1687,-111.993,0
ASASSN-15pm,0.04777,CMB,36.3735,SH0ES,0.154741,17.1205,0.152367,10.292,0.097,24.6504,-4.6798,-170.031,0
14871,0.12705,CMB,38.7429,SH0ES,0.159508,19.4899,0.157206,9.14823,0.07,54.2771,0.0094,-40.3573,0
18855,0.12716,CMB,38.7841,SH0ES,0.176913,19.5311,0.174841,9.82915,0.065,48.6323,0.2698,-44.3542,0
ASASSN-16hz,0.02406,CMB,34.8112,SH0ES,0.317595,15.5582,0.316446,9.55271,0.002,348.94,-1.3396,-175.764,0
2003he,0.02404,CMB,35.0862,SH0ES,0.240547,15.8332,0.239027,7.0,,359.738,-2.2481,-252.988,0
2001cj,0.02491,CMB,35.1973,SH0ES,0.228493,15.9443,0.226892,7.0,,200.437,31.2468,-9.2981,0
Gaia16agf,0.02553,CMB,35.2152,SH0ES,0.268527,15.9622,0.267166,8.65931,0.1,98.5373,-25.1846,130.452,0
2007cq,0.02481,CMB,34.8369,SH0ES,0.288042,15.5839,0.286774,9.36898,0.004,333.668,5.0803,-83.9674,0
2003it,0.02413,CMB,35.079,SH0ES,0.205996,15.826,0.204219,10.4235,0.026,1.452,27.4527,-284.915,0
15508,0.13353,CMB,38.8434,SH0ES,0.157696,19.5904,0.155367,9.13587,0.068,27.169,-0.5766,-50.2332,0
15234,0.13514,CMB,39.0775,SH0ES,0.31333,19.8245,0.312165,9.98362,0.061,16.9583,0.8282,-53.924,0
000014,0.13599,CMB,38.9771,SH0ES,0.206627,19.7241,0.204855,9.80415,0.048,35.878,-4.6363,-39.8714,0
17629,0.1364,CMB,38.8475,SH0ES,0.195569,19.5945,0.193696,10.6342,0.056,30.6364,-1.0892,-47.5279,0
19775,0.13687,CMB,39.0095,SH0ES,0.224296,19.7565,0.222665,10.0494,0.104,318.956,0.6513,-33.2285,0
744,0.12694,CMB,38.6849,SH0ES,0.280884,19.4319,0.279584,9.90923,0.075,329.198,0.3175,-41.9263,0
2992,0.12608,CMB,38.4956,SH0ES,0.293348,19.2426,0.292103,9.72723,0.057,55.497,-0.7827,-38.3957,0
17366,0.13811,CMB,38.8857,SH0ES,0.128482,19.6327,0.125613,10.2891,0.056,315.787,-1.0292,-27.9862,0
1995ac,0.04867,CMB,36.3303,SH0ES,0.135835,17.0773,0.133124,10.3844,0.07,341.392,-8.7513,20.1185,0
2561,0.11741,CMB,38.5727,SH0ES,0.239635,19.3197,0.23811,7.0,0.033,46.3434,0.8584,-49.7646,0
2006ac,0.02395,CMB,34.953,SH0ES,0.198064,15.7,0.196215,11.1921,0.098,190.437,35.0686,-107.473,0
ASASSN-15sf,0.02349,CMB,35.2317,SH0ES,0.235205,15.9787,0.23365,8.21725,0.034,2.865,-6.4273,-241.913,0
2005bg,0.02414,CMB,35.0102,SH0ES,0.201948,15.7572,0.200135,9.73321,0.01,184.322,16.3716,-59.0594,0
2009D,0.02476,CMB,35.008,SH0ES,0.162015,15.755,0.159749,10.1971,0.13,58.5951,-19.1817,65.3409,0
490008,0.12067,CMB,38.6348,SH0ES,0.302627,19.3818,0.30142,8.89488,0.429,131.449,44.4206,-51.5834,0
19953,0.1219,CMB,38.5945,SH0ES,0.157915,19.3415,0.15559,9.37542,0.063,332.931,0.5791,-46.2658,0
PS16ccn,0.02395,CMB,35.1784,SH0ES,0.189112,15.9254,0.187175,7.58621,0.013,273.122,31.2799,-183.015,0
PS16el,0.04896,CMB,36.4691,SH0ES,0.176995,17.2161,0.174923,9.98418,0.001,162.802,19.3625,-126.334,0
16021,0.12336,CMB,38.6164,SH0ES,0.162163,19.3634,0.159899,9.49127,0.06,13.8437,-0.3888,-56.0953,0
6406,0.12377,CMB,38.6504,SH0ES,0.145797,19.3974,0.143276,10.0062,0.054,46.0886,-1.063,-44.457,0
19543,0.12384,CMB,38.835,SH0ES,0.221531,19.582,0.21988,8.61533,0.101,357.908,0.2798,-55.7173,0
13044,0.12455,CMB,38.7616,SH0ES,0.12587,19.5086,0.12294,10.0637,0.062,332.543,0.5033,-45.0282,0
18602,0.13696,CMB,38.9616,SH0ES,0.259136,19.7086,0.257725,8.85232,0.106,338.984,0.6092,-45.3089,0
15171,0.13818,CMB,38.9503,SH0ES,0.15974,19.6973,0.157441,9.85121,0.142,304.793,-1.0645,-19.2613,0
ASASSN-17at,0.02643,CMB,35.2513,SH0ES,0.18676,15.9983,0.184798,10.1022,0.0,174.64,25.3971,-204.188,0
14024,0.14759,CMB,39.134,SH0ES,0.188785,19.881,0.186845,10.7329,0.198,318.199,0.9163,-31.2074,0
PS15ahs,0.02522,CMB,35.1974,SH0ES,0.185937,15.9444,0.183966,9.35319,0.015,269.874,43.3901,-36.7715,0
PSNJ0153424,0.02474,CMB,35.1828,SH0ES,0.233724,15.9298,0.23216,10.2733,0.001,28.4267,29.9363,-237.62,0
SN2017hn,0.02492,CMB,35.0621,SH0ES,0.190177,15.8091,0.188251,10.8634,0.001,196.914,6.3376,-189.322,0
13736,0.14882,CMB,39.1606,SH0ES,0.17494,19.9076,0.172844,9.07749,0.08,336.833,1.031,-42.1088,0
