parameter,mu_cepheid,mu_cepheid_err,source_id,galaxy,galaxy_norm
mu_M101,29.15951267789768,0.038751213399772,M101,M 101,M101
mu_M1337,32.91556155810895,0.0821191889374246,M1337,Mrk 1337,MRK1337
mu_N0691,32.82220038569176,0.0876811481466406,N0691,NGC 691,NGC691
mu_N1015,32.617748081806326,0.060076741756443,N1015,NGC 1015,NGC1015
mu_N105A,34.493374963451345,0.1193578058476689,N105A,NGC 105A,NGC105A
mu_N1309,32.50896360923535,0.0506780279748097,N1309,NGC 1309,NGC1309
mu_N1365,31.32541543530425,0.0500632419879221,N1365,NGC 1365,NGC1365
mu_N1448,31.295113402826516,0.0357285514707881,N1448,NGC 1448,NGC1448
mu_N1559,31.46078272204369,0.0516333818314369,N1559,NGC 1559,NGC1559
mu_N2442,31.465229402600443,0.0546366996015777,N2442,NGC 2442,NGC2442
mu_N2525,32.01138450158723,0.0606591197975918,N2525,NGC 2525,NGC2525
mu_N2608,32.62780095307221,0.1148434167441644,N2608,NGC 2608,NGC2608
mu_N3021,32.39157825089393,0.0966189000632787,N3021,NGC 3021,NGC3021
mu_N3147,33.09079245164216,0.0854830197759541,N3147,NGC 3147,NGC3147
mu_N3254,32.40309755164495,0.056427656454706,N3254,NGC 3254,NGC3254
mu_N3370,32.14249679432585,0.0456347313322023,N3370,NGC 3370,NGC3370
mu_N3447,31.944288930942335,0.0333315910022108,N3447,NGC 3447,NGC3447
mu_N3583,32.7899012784913,0.0634223058066292,N3583,NGC 3583,NGC3583
mu_N3972,31.707206094762284,0.0676238347875992,N3972,NGC 3972,NGC3972
mu_N3982,31.63818279538434,0.0561344085927094,N3982,NGC 3982,NGC3982
mu_N4038,31.633833407662937,0.0800615212766845,N4038,NGC 4038,NGC4038
mu_N4424,30.823886318364572,0.1080351844117757,N4424,NGC 4424,NGC4424
mu_N4536,30.83549639777847,0.0479757779420524,N4536,NGC 4536,NGC4536
mu_N4639,31.78738500726915,0.0713565283748475,N4639,NGC 4639,NGC4639
mu_N4680,32.5468099373571,0.1470442585163361,N4680,NGC 4680,NGC4680
mu_N5468,33.18726848481219,0.0485085615123016,N5468,NGC 5468,NGC5468
mu_N5584,31.86553948636049,0.0453757045325274,N5584,NGC 5584,NGC5584
mu_N5643,30.508408628554548,0.0423384635611199,N5643,NGC 5643,NGC5643
mu_N5728,32.91590277778192,0.103192618959824,N5728,NGC 5728,NGC5728
mu_N5861,32.205206817919304,0.0756344575522645,N5861,NGC 5861,NGC5861
mu_N5917,32.33689541476568,0.0769424972155627,N5917,NGC 5917,NGC5917
mu_N7250,31.605972237460463,0.103313425286753,N7250,NGC 7250,NGC7250
mu_N7329,33.26914458542828,0.0702010071802581,N7329,NGC 7329,NGC7329
mu_N7541,32.579683470837224,0.0843555788926216,N7541,NGC 7541,NGC7541
mu_N7678,33.26689439729975,0.0832042725418636,N7678,NGC 7678,NGC7678
mu_N976A,33.54384445493261,0.0823285152545172,N976A,NGC 976A,NGC976A
mu_U9391,32.81599028059958,0.0544388860427793,U9391,UGC 9391,UGC9391
mu_N4258,29.38530384950553,0.021796094483767,N4258,NGC 4258,NGC4258
mu_LMC,18.487089914715938,0.0194059102204389,LMC,LMC,LMC
mu_M31,24.37137444201565,0.0686837689614838,M31,M 31,M31
