galaxy,mu_opt,mu_opt_err,mu_nir,mu_nir_err,delta_mu_band,delta_mu_band_err,X_i,X_i_unscreened,S_total,V_rot,sample
NGC 1015,32.499,0.061,32.455,0.017,-0.044000000000004036,0.04848504924200861,6.579810635021692e-08,-3.4880723463275607e-09,0.939605410141616,85.347788,primary_MF2023
NGC 1309,32.498,0.035,32.422,0.028,-0.07600000000000051,0.021,1.2657471319890033e-07,6.164601721664734e-08,0.9367067264459408,114.622009,primary_MF2023
NGC 1365,31.179,0.045,31.287,0.035,0.10800000000000054,0.027018512172212596,1.7924541334293046e-08,1.3422685222777719e-07,0.1292709906890823,140.219275,primary_MF2023
NGC 1448,31.42,0.041,31.191,0.048,-0.22900000000000276,0.028917122955093588,1.3770043333643149e-07,1.0607190866666322e-07,0.7767538942827101,130.885465,primary_MF2023
NGC 2442,31.279,0.02,31.42,0.04,0.1410000000000018,0.026832815729997475,2.5838069387071523e-09,2.0137528115123435e-07,0.0452552109827608,160.301107,primary_MF2023
NGC 3021,32.297,0.071,32.402,0.012,0.10500000000000398,0.061820708504513266,6.163692930739101e-08,1.9423618562449517e-08,0.6924991787360747,96.661497,primary_MF2023
NGC 3370,32.081,0.035,32.015,0.017,-0.0660000000000025,0.023706539182259397,1.0584463240876651e-07,3.9637521276038155e-08,0.9357840305883782,105.641753,primary_MF2023
NGC 3447,32.046,0.025,31.91,0.04,-0.13599999999999923,0.02500000000000001,9.582179775802967e-10,-7.250708981218606e-08,0.94049939283832,32.880465,primary_MF2023
NGC 3972,31.77,0.041,31.518,0.055,-0.2519999999999989,0.03313608305156178,-4.002130479197233e-09,-1.722089898126427e-08,0.0943774377791773,77.781746,primary_MF2023
NGC 3982,31.587,0.041,31.646,0.021,0.05900000000000105,0.02728369476445593,7.699794857764964e-09,1.2831016651870996e-07,0.0848263070135353,138.310086,primary_MF2023
NGC 4038,31.397,0.038,31.312,0.023,-0.0849999999999973,0.023970815588961508,1.3787329480355312e-07,7.454385805579778e-08,0.9317852262889048,119.571757,primary_MF2023
NGC 4258,29.269,0.06,29.46,0.069,0.1910000000000025,0.04167733196834941,1.3771945394697304e-08,1.6762593659932367e-07,0.09568098445277634,150.543034,primary_MF2023
NGC 4424,30.623,0.28,30.693,0.008,0.07000000000000028,0.27364210202379313,-1.02321765522974e-08,-7.998571126739031e-08,0.0270303739152203,20.223254,primary_MF2023
NGC 4536,30.803,0.055,30.87,0.009,0.06700000000000017,0.048104053883222773,9.080902213475338e-08,5.033081220879724e-08,0.7501032206681933,110.096526,primary_MF2023
NGC 4639,31.654,0.075,31.36,0.053,-0.2940000000000005,0.0455411901469428,1.2268727116976102e-07,6.8580052956503e-08,0.8688981307981486,117.309015,primary_MF2023
M 101,28.89,0.015,28.987,0.015,0.09699999999999775,0.00948683298050514,3.2775763619200995e-07,3.3343527349020587e-07,0.8089374852214116,193.817969,primary_MF2023
NGC 5584,31.838,0.025,31.727,0.03,-0.11100000000000065,0.018027756377319945,6.991585729309334e-08,1.972815815402112e-09,0.9278918472664228,88.176216,primary_MF2023
NGC 5917,32.118,0.055,32.246,0.01,0.1280000000000001,0.04738143096192853,3.120950873089523e-08,-3.683269142901516e-08,0.8713125035997802,65.478088,primary_MF2023
NGC 7250,31.145,0.05,31.32,0.026,0.1750000000000007,0.033105890714493706,1.5937050188455403e-08,-5.6412829202728004e-08,0.9348880467671816,50.275292,primary_MF2023
UGC 9391,32.784,0.075,32.868,0.003,0.08400000000000318,0.07262231062146123,1.9609822039196626e-08,-5.2656077794212396e-08,0.9399266010325484,53.527983,primary_MF2023
NGC 1365,31.18,0.05,31.32541543530425,0.0500632419879221,0.14541543530425116,0.03164283235280113,1.7924541334293046e-08,1.3422685222777719e-07,0.1292709906890823,140.219275,secondary_KP_R22
NGC 4258,29.44,0.07,29.38530384950553,0.021796094483767,-0.05469615049447185,0.054165553191704734,1.3771945394697304e-08,1.6762593659932367e-07,0.09568098445277634,150.543034,secondary_KP_R22
NGC 4536,30.8,0.04,30.83549639777847,0.0479757779420524,0.03549639777846991,0.028830981267618478,9.080902213475338e-08,5.033081220879724e-08,0.7501032206681933,110.096526,secondary_KP_R22
NGC 4639,31.61,0.08,31.78738500726915,0.0713565283748475,0.17738500726915163,0.04856046241264529,1.2268727116976102e-07,6.8580052956503e-08,0.8688981307981486,117.309015,secondary_KP_R22
NGC 5457,29.13,0.11,29.15951267789768,0.038751213399772,0.029512677897681527,0.08234951719102424,3.2775763619200995e-07,3.3343527349020587e-07,0.8089374852214116,193.817969,secondary_KP_R22
NGC 3021,32.27,0.08,32.39157825089393,0.0966189000632787,0.1215782508939256,0.058034409115094485,6.163692930739101e-08,1.9423618562449517e-08,0.6924991787360747,96.661497,secondary_KP_R22
NGC 3370,32.07,0.08,32.14249679432585,0.0456347313322023,0.07249679432585054,0.05139341488206822,1.0584463240876651e-07,3.9637521276038155e-08,0.9357840305883782,105.641753,secondary_KP_R22
NGC 3972,31.58,0.12,31.707206094762284,0.0676238347875992,0.12720609476228617,0.07738996544876774,-4.002130479197233e-09,-1.722089898126427e-08,0.0943774377791773,77.781746,secondary_KP_R22
NGC 4038,31.68,0.13,31.633833407662937,0.0800615212766845,-0.04616659233706244,0.08159075170377232,1.3787329480355312e-07,7.454385805579778e-08,0.9317852262889048,119.571757,secondary_KP_R22
