pgc,galaxy_name,cep_mu,cep_mu_err,trgb_mu,trgb_mu_err,delta_mu,delta_mu_err,ra,dec,v_cmb,cep_source,trgb_source,sample,r22_matched,sigma_kms,sigma_err_kms,U_i,S_total,X_i,X_i_unscreened,U_i_err,X_i_err,cmb_dot,cmb_sep_deg
143,PGC 143,24.9,0.036,24.91,0.07,-0.010000000000001563,0.07871467461661771,0.4926,-15.4609,-437.0,CF4_registered,CF4_registered,CF4,False,18.526197667087544,1.8526197667087545,343.21999999999997,1.0,-6.536341184989435e-09,-8.071738997038192e-08,68.64399999999999,7.637675044774459e-10,-0.9016495062301964,154.37574173011387
1014,PGC 1014,26.394,0.031,26.57,0.03,-0.17600000000000193,0.04313930922024598,3.7233,-39.1966,-117.0,CF4_registered,CF4_registered,CF4,False,41.50716805565034,4.150716805565033,1722.845,1.0,8.814057150840301e-09,-6.536699163455219e-08,344.56899999999996,3.833847171643392e-09,-0.6638901882459047,131.59723989358767
2557,PGC 2557,24.397,0.066,24.53,0.1,-0.13300000000000267,0.11981652640600128,10.6848,41.2689,-585.0,CF4_registered,CF4_registered,CF4,False,181.514311,18.1514311,32947.44509780472,0.4714380741611139,1.6246919474734946e-07,2.8205353885619026e-07,6589.489019560944,3.456487469094523e-08,-0.7678451191376459,140.16077483074037
2758,PGC 2758,27.607,0.037,27.8,0.02,-0.1930000000000014,0.04205948168962618,11.7857,-20.7604,-137.0,CF4_registered,CF4_registered,CF4,False,59.750523010263265,1.414213562373095,3570.125,1.0,2.936781910630759e-08,-4.4813229679084905e-08,168.99999999999997,1.880378594730615e-09,-0.806133835797799,143.7198984350636
3238,PGC 3238,26.289,0.07,26.55,0.06,-0.26099999999999923,0.09219544457292887,13.723,-37.6845,-89.0,CF4_registered,CF4_registered,CF4,False,63.21534623807735,1.4849242404917498,3996.1800000000003,1.0,3.410832030262684e-08,-4.007272848276566e-08,187.74,2.0888892152350638e-09,-0.6334783440538228,129.3072172383931
3844,PGC 3844,24.26,0.031,24.34,0.06,-0.0799999999999983,0.06753517601961218,16.1991,2.1177,-557.0,CF4_registered,CF4_registered,CF4,False,18.950461735799472,0.7778174593052023,359.11999999999995,1.0,-6.359429826076911e-09,-8.05404786114694e-08,29.479999999999997,3.280092365246067e-10,-0.8782402271598343,151.43080626976877
5818,PGC 5818,24.606,0.046,24.8,0.08,-0.19399999999999906,0.09228217596047461,23.4621,30.6599,-456.0,CF4_registered,CF4_registered,CF4,False,70.7813887967734,1.2020815280171306,5010.004999999999,1.0,4.538864473341243e-08,-2.879240405198007e-08,170.16999999999996,1.8933966003864425e-09,-0.7566514160928375,139.16987682537203
9332,PGC 9332,29.779,0.04,29.85,0.06,-0.0710000000000015,0.07211102550927978,36.8203,33.579,326.0,CF4_registered,CF4_registered,CF4,False,74.67047609329941,1.4849242404917498,5575.679999999999,0.9406490568972323,4.8000625605563856e-08,-2.2498420847398762e-08,221.76,2.3209694897192252e-09,-0.6107625982779028,127.64466423313905
13179,PGC 13179,31.378,0.056,31.4,0.09,-0.021999999999998465,0.106,53.4016,-36.1405,1568.0,CF4_registered,CF4_registered,CF4,False,140.219275,14.021927500000002,19661.445081525628,0.1292709906890823,1.7924541334293046e-08,1.3422685222777719e-07,3932.289016305126,5.655944008333944e-09,-0.2616464377580041,105.16777838693409
13727,PGC 13727,31.287,0.037,31.33,0.09,-0.04299999999999926,0.09730878685915265,56.1327,-44.6446,1097.0,CF4_registered,CF4_registered,CF4,False,130.885465,13.088546500000001,17131.00494826623,0.7767538942827101,1.3770043333643149e-07,1.0607190866666322e-07,3426.200989653246,2.961112240876163e-08,-0.1774277042512984,100.21996656165524
21396,PGC 21396,27.509,0.1,27.47,0.05,0.03900000000000148,0.1118033988749895,114.2142,65.6024,179.0,CF4_registered,CF4_registered,CF4,False,84.99423509862301,1.8384776310850235,7224.0199999999995,0.9406490568972323,6.525237005309176e-08,-4.1581649134445416e-09,312.52,3.27087565353108e-09,0.13247987413473739,82.38708164352258
32007,PGC 32007,29.969,0.09,29.94,0.03,0.028999999999999915,0.09486832980505137,160.9904,11.7035,1127.0,CF4_registered,CF4_registered,CF4,False,106.5609919248127,2.616295090390226,11355.244999999997,0.4714380741611139,4.920825926859768e-08,4.180791236475654e-08,557.5899999999999,2.9248138090392183e-09,0.9403567854376127,19.888439567678965
32192,PGC 32192,30.079,0.06,30.19,0.09,-0.11100000000000065,0.10816653826391967,161.6904,11.8198,1217.0,CF4_registered,CF4_registered,CF4,False,142.9769911559199,3.252691193458118,20442.42,0.4714380741611139,9.687463586279048e-08,1.4291637009594697e-07,930.1199999999998,4.878903531382481e-09,0.9410734867824168,19.767376970510448
