galaxy,sigma_kms,error_kms,source_bibcode,method,phi_proxy_kms2,phi_proxy_err_kms2
M 101,193.817969,7.212489,2014A&A...570A..13M,HyperLEDA rotation potential proxy,37565.40510728496,2795.819938829682
Mrk 1337,86.337738,4.737615,2014A&A...570A..13M,HyperLEDA rotation potential proxy,7454.205002956644,818.06992522974
NGC 0691,141.84562,3.040559,2014A&A...570A..13M,HyperLEDA rotation potential proxy,20120.179913184398,862.57995300316
NGC 1015,85.347788,2.969848,2014A&A...570A..13M,HyperLEDA rotation potential proxy,7284.244916492943,506.93991499244794
NGC 105,166.099383,6.434672,2014A&A...570A..13M,HyperLEDA rotation potential proxy,27589.005032980684,2137.5900980147517
NGC 1309,114.622009,3.464823,2014A&A...570A..13M,HyperLEDA rotation potential proxy,13138.204947196082,794.289946178814
NGC 1365,140.219275,2.12132,2014A&A...570A..13M,HyperLEDA rotation potential proxy,19661.445081525628,594.8999048860001
NGC 1448,130.885465,1.414214,2014A&A...570A..13M,HyperLEDA rotation potential proxy,17131.00494826623,370.20011399902006
NGC 1559,94.964441,1.202082,2014A&A...570A..13M,HyperLEDA rotation potential proxy,9018.24505444248,228.310090332324
NGC 2442,160.301107,7.353911,2014A&A...570A..13M,HyperLEDA rotation potential proxy,25696.44490542545,2357.680148158954
NGC 2525,89.66114,2.192031,2014A&A...570A..13M,HyperLEDA rotation potential proxy,8039.1200260996,393.07999675068004
NGC 2608,73.751237,1.979899,2014A&A...570A..13M,HyperLEDA rotation potential proxy,5439.244959030169,292.040000770126
NGC 3021,96.661497,2.828427,2014A&A...570A..13M,HyperLEDA rotation potential proxy,9343.445002281009,546.799975950438
NGC 3147,236.597929,9.33381,2014A&A...570A..13M,HyperLEDA rotation potential proxy,55978.58000708904,4416.72023135898
NGC 3254,146.936789,3.181981,2014A&A...570A..13M,HyperLEDA rotation potential proxy,21590.419961630523,935.100141598018
NGC 3370,105.641753,2.12132,2014A&A...570A..13M,HyperLEDA rotation potential proxy,11160.179976913008,448.19992694791995
NGC 3447,32.880465,1.343503,2014A&A...570A..13M,HyperLEDA rotation potential proxy,1081.124978616225,88.35000673779
NGC 3583,128.26917,4.030509,2014A&A...570A..13M,HyperLEDA rotation potential proxy,16452.9799724889,1033.98008821506
NGC 3972,77.781746,2.828427,2014A&A...570A..13M,HyperLEDA rotation potential proxy,6050.000010808516,439.999980987084
NGC 3982,138.310086,4.666905,2014A&A...570A..13M,HyperLEDA rotation potential proxy,19129.6798893274,1290.9600638076602
NGC 4038,119.571757,5.515433,2014A&A...570A..13M,HyperLEDA rotation potential proxy,14297.40507206705,1318.980028851562
NGC 4424,20.223254,0.777817,2014A&A...570A..13M,HyperLEDA rotation potential proxy,408.98000234851605,31.459981513036002
NGC 4536,110.096526,1.979899,2014A&A...570A..13M,HyperLEDA rotation potential proxy,12121.245037268676,435.960003461748
NGC 4639,117.309015,2.192031,2014A&A...570A..13M,HyperLEDA rotation potential proxy,13761.405000270226,514.28999491893
NGC 4680,66.821591,6.010408,2014A&A...570A..13M,HyperLEDA rotation potential proxy,4465.125023771281,803.250050238256
NGC 5468,106.702413,3.11127,2014A&A...570A..13M,HyperLEDA rotation potential proxy,11385.40494002257,663.9600329890201
NGC 5584,88.176216,2.05061,2014A&A...570A..13M,HyperLEDA rotation potential proxy,7775.045068078655,361.63006058351993
NGC 5643,121.056681,3.040559,2014A&A...570A..13M,HyperLEDA rotation potential proxy,14654.72001473576,736.159961849358
NGC 5728,158.674762,5.656854,2014A&A...570A..13M,HyperLEDA rotation potential proxy,25177.68009575664,1795.199924237496
NGC 5861,112.076425,1.555635,2014A&A...570A..13M,HyperLEDA rotation potential proxy,12561.125040780626,348.70001880975
NGC 5917,65.478088,3.676955,2014A&A...570A..13M,HyperLEDA rotation potential proxy,4287.380008135744,481.51996612408
NGC 7250,50.275292,2.616295,2014A&A...570A..13M,HyperLEDA rotation potential proxy,2527.604985685264,263.06999016628
NGC 7329,177.413091,2.899138,2014A&A...570A..13M,HyperLEDA rotation potential proxy,31475.404858174283,1028.690067631116
NGC 7541,146.936789,3.040559,2014A&A...570A..13M,HyperLEDA rotation potential proxy,21590.419961630523,893.5399524501021
NGC 7678,141.987042,3.252691,2014A&A...570A..13M,HyperLEDA rotation potential proxy,20160.320095909763,923.6799472600441
NGC 976,286.378246,11.242998,2014A&A...570A..13M,HyperLEDA rotation potential proxy,82012.49978203651,6439.500094043015
UGC 9391,53.527983,1.979899,2014A&A...570A..13M,HyperLEDA rotation potential proxy,2865.2449640482887,211.960000027434
NGC 4258,150.543034,3.676955,2014A&A...570A..13M,HyperLEDA rotation potential proxy,22663.205085925158,1107.07992316294
M 31,181.514311,4.313351,2014A&A...570A..13M,HyperLEDA rotation potential proxy,32947.44509780472,1565.8698697323218
LMC,32.951176,3.747666,2014A&A...570A..13M,HyperLEDA rotation potential proxy,1085.779999782976,246.98000391043198
SMC,30.688434,3.323402,2014A&A...570A..13M,HyperLEDA rotation potential proxy,941.779981372356,203.980005864936
