galaxy,ra,dec,v_cmb,DM_baseline,e_DM,catalog,indicator
g0000144-765225,0.05985,-76.8736,15941,36.11777149199774,0.6480000019073486,6dFGSv,FP
g0000222-013746,0.09225,-1.6295,11123,35.42080344206181,0.47699999809265137,6dFGSv,FP
g0000235-065610,0.0978,-6.9362,10920,35.6748068492238,0.5364999771118164,6dFGSv,FP
g0000251-260240,0.10455,-26.0445,14926,36.05891085455388,0.5325000286102295,6dFGSv,FP
g0000356-014547,0.1485,-1.7632,6956,35.20799161735378,0.5824999809265137,6dFGSv,FP
g0000358-403432,0.14895,-40.5756,14746,36.748064751037184,0.7660000324249268,6dFGSv,FP
g0000428-721715,0.17835,-72.2874,10366,35.94574980442431,0.5615000128746033,6dFGSv,FP
g0000459-815803,0.19125,-81.9674,12646,36.19995964004809,0.6004999876022339,6dFGSv,FP
g0000523-355037,0.2181,-35.8437,15324,36.66105437273965,0.5724999904632568,6dFGSv,FP
g0000532-355911,0.22155,-35.9863,14725,36.25447012486717,0.5385000109672546,6dFGSv,FP
g0000558-255421,0.23235,-25.9058,14835,36.343631409289145,0.5110000371932983,6dFGSv,FP
g0001010-434516,0.2541,-43.7543,11553,36.13166749629043,0.612500011920929,6dFGSv,FP
g0001011-435136,0.2544,-43.8599,11554,37.43035553358716,0.7150000333786011,6dFGSv,FP
g0001060-535931,0.27495,-53.9918,9238,35.27508340946812,0.4715000092983246,6dFGSv,FP
g0001330-072610,0.3873,-7.4361,8493,35.10999934139751,0.5329999923706055,6dFGSv,FP
g0001341-361900,0.39225,-36.3167,14397,35.472053596802596,0.4909999966621399,6dFGSv,FP
g0001361-144455,0.4002,-14.7487,10966,35.88993482721225,0.5119999647140503,6dFGSv,FP
g0001453-042049,0.43875,-4.3469,14005,36.22010922831033,0.5370000004768372,6dFGSv,FP
g0002177-434517,0.5739,-43.7547,12033,36.811563240482286,0.6284999847412109,6dFGSv,FP
g0002198-435220,0.58245,-43.8721,11344,37.09952480600297,0.8030000329017639,6dFGSv,FP
g0002248-544560,0.60315,-54.7665,9603,36.56072832023058,0.606499969959259,6dFGSv,FP
g0002391-384627,0.663,-38.7741,14858,36.798995548487255,0.7135000228881836,6dFGSv,FP
g0002441-435802,0.68385,-43.9672,11615,35.83978976001221,0.5209999680519104,6dFGSv,FP
g0002443-534455,0.68445,-53.7486,10287,36.173137362360194,0.5115000009536743,6dFGSv,FP
g0002547-354319,0.7278,-35.7221,14365,36.51472173904443,0.5509999990463257,6dFGSv,FP
g0003055-540211,0.77295,-54.0364,10678,35.85564337680076,0.5824999809265137,6dFGSv,FP
g0003213-355622,0.8388,-35.9395,13946,36.440442062708556,0.6514999866485596,6dFGSv,FP
g0003214-500450,0.83895,-50.0805,10147,35.904882093829855,0.4854999780654907,6dFGSv,FP
g0003468-551419,0.94485,-55.2386,9845,35.00627227848531,0.5249999761581421,6dFGSv,FP
g0003487-433706,0.95295,-43.6183,8795,35.43937297733146,0.5604999661445618,6dFGSv,FP
g0003518-120609,0.966,-12.1026,12670,35.771076728231705,0.5329999923706055,6dFGSv,FP
g0003572-614657,0.9882,-61.7825,8774,36.146681798462225,0.6060000061988831,6dFGSv,FP
g0004060-513457,1.0251,-51.5825,10125,36.46616889209713,0.6580000519752502,6dFGSv,FP
g0004121-143125,1.0503,-14.5237,6859,34.90599771829525,0.5209999680519104,6dFGSv,FP
g0004182-250606,1.07565,-25.1017,14834,37.16048516281698,0.6690000295639038,6dFGSv,FP
g0004284-525414,1.1184,-52.9039,9053,36.40665625884463,0.6305000185966492,6dFGSv,FP
g0004422-302901,1.176,-30.4836,7718,34.89921748828087,0.45350000262260437,6dFGSv,FP
g0004517-542914,1.21545,-54.4873,10711,35.583343775995786,0.4690000116825104,6dFGSv,FP
g0004582-600135,1.2426,-60.0262,8884,35.389236402471354,0.48649999499320984,6dFGSv,FP
g0005037-552033,1.2654,-55.3424,11225,35.87212541792441,0.590499997138977,6dFGSv,FP
g0005054-533307,1.27245,-53.552,10226,36.682722658935496,0.5814999938011169,6dFGSv,FP
g0005096-535801,1.29015,-53.9671,10948,36.52286761072807,0.5385000109672546,6dFGSv,FP
g0005112-502053,1.2969,-50.3481,10509,34.91600069244821,0.46549999713897705,6dFGSv,FP
g0005271-133137,1.3629,-13.527,11024,36.184889647419126,0.6175000071525574,6dFGSv,FP
g0005279-503455,1.36605,-50.5819,10420,36.29403216656989,0.5119999647140503,6dFGSv,FP
g0005400-534901,1.41645,-53.8169,10857,36.5577429326146,0.5249999761581421,6dFGSv,FP
