galaxy,pgc,jwst_trgb_mu,jwst_trgb_mu_err,trgb_source,trgb_program,trgb_filter,cep_mu,cep_mu_err,cep_source,cep_fit_variant,jwst_program,vrot_kms,vrot_error_kms,sigma_kms,U_i,S_total,X_i,X_i_unscreened,X_i_err,delta_mu,delta_mu_err,trgb_source_flag,cep_source_flag
M101,50063,29.151,0.042,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,29.194,0.039,R22 (CCHP Table 3),10,GO-1995,274.1000003914081,9.69089845,193.817969,37565.40510728496,0.8089374852214116,3.2775763619200995e-07,3.3343527349020587e-07,2.9555048268778137e-08,0.04299999999999926,0.0573149195236284,JWST_F115W,R22_HST
NGC 1365,13179,31.366,0.069,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,31.379,0.057,R22 (CCHP Table 3),10,GO-1995,198.30000041112268,2.999999514133294,140.219275,19661.445081525628,0.1292709906890823,1.7924541334293046e-08,1.3422685222777719e-07,6.619154125177004e-09,0.013000000000001677,0.08949860334105779,JWST_F115W,R22_HST
NGC 2442,21373,31.646,0.097,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,31.457,0.065,R22 (CCHP Table 3),10,GO-1995,226.6999995828207,10.40000067268469,160.301107,25696.444905425455,0.0452552109827608,2.5838069387071548e-09,2.013752811512344e-07,2.6232729490055647e-08,-0.18900000000000006,0.11676472069936193,JWST_F115W,R22_HST
NGC 3972,37466,31.747,0.068,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,31.644,0.09,R22 (CCHP Table 3),10,GO-1995,110.00000009825924,3.9999998235822463,77.781746,6050.000010808516,0.0943774377791773,-4.002130479197233e-09,-1.722089898126427e-08,4.895660035088702e-09,-0.10300000000000153,0.1128007092176286,JWST_F115W,R22_HST
NGC 4038,37967,31.645,0.078,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,31.615,0.117,R22 (CCHP Table 3),10,GO-1995,169.1000004261801,7.800000150960127,119.571757,14297.405072067053,0.9317852262889048,1.3787329480355315e-07,7.454385805579782e-08,1.4675632030352941e-08,-0.030000000000001137,0.1406164997430956,JWST_F115W,R22_HST
NGC 4424,40809,30.926,0.03,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,30.856,0.13,R22 (CCHP Table 3),10,GO-1995,28.600000082115947,1.0999993504443537,20.223254,408.9800023485161,0.0270303739152203,-1.0232176552297398e-08,-7.998571126739031e-08,3.500395019392532e-10,-0.06999999999999673,0.13341664064126335,JWST_F115W,R22_HST
NGC 4536,41823,30.923,0.052,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,30.838,0.051,R22 (CCHP Table 3),10,GO-1995,155.70000023936208,2.800000017928929,110.096526,12121.245037268676,0.7501032206681933,9.080902213475338e-08,5.033081220879724e-08,4.850709222888498e-09,-0.0849999999999973,0.07283543093852057,JWST_F115W,R22_HST
NGC 4639,42741,31.774,0.073,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,31.818,0.085,R22 (CCHP Table 3),10,GO-1995,165.90000000162885,3.0999999693422584,117.309015,13761.405000270226,0.8688981307981486,1.2268727116976102e-07,6.8580052956503e-08,5.722247916743628e-09,0.04400000000000048,0.11204463396343442,JWST_F115W,R22_HST
NGC 5643,51969,30.643,0.071,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,30.57,0.05,R22 (CCHP Table 3),10,GO-1995,171.20000008607337,4.299999774995576,121.056681,14654.720014735762,0.7570263589915945,1.1308232237483205e-07,7.851952296568916e-08,8.19088422816118e-09,-0.0730000000000004,0.08683893136145793,JWST_F115W,R22_HST
NGC 7250,68535,31.629,0.047,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),GO-1995,F115W,31.628,0.126,R22 (CCHP Table 3),10,GO-1995,71.09999979866757,3.699999872168917,50.275292,2527.604985685264,0.9348880467671816,1.5937050188455403e-08,-5.6412829202728004e-08,2.9270483930453637e-09,-0.0010000000000012221,0.1344804818551748,JWST_F115W,R22_HST
