pgc,pgc1,t17,vcmb,dm,e_dm,dm_snIa,e_dm_snIa,dm_tf,e_dm_tf,dm_fp,e_dm_fp,dm_sbf,e_dm_sbf,dm_snII,e_dm_snII,dm_trgb,e_dm_trgb,dm_ceph,e_dm_ceph,dm_mas,e_dm_mas,ra,dec,has_ceph,has_trgb,has_both,galaxy_name,vrot_kms,vrot_error_kms,r22_matched,delta_mu,delta_mu_err,U_i,S_total,X_i,tracer_type,cepheid_band
143,143,0,-437,24.902,0.032,,,,,,,,,,,24.91,0.07,24.9,0.036,,,0.4926,-15.4609,True,True,True,WLM,26.2,2.62,False,-0.010000000000001563,0.07871467461661771,343.21999999999997,1.0,-6.536341184989435e-09,HI_21cm,optical
1014,1014,0,-117,26.484,0.022,,,26.065,0.41,,,,,,,26.57,0.03,26.394,0.031,,,3.7233,-39.1966,True,True,True,NGC 0055,58.7,5.87,False,-0.17600000000000193,0.04313930922024598,1722.845,1.0,8.814057150840301e-09,HI_21cm,optical
2557,2557,0,-585,24.366,0.045,,,,,,,24.214,0.08,,,24.53,0.1,24.397,0.066,,,10.6848,41.2689,True,True,True,M 31,256.7,6.1,False,-0.13300000000000267,0.11981652640600128,32947.445,0.4714380741611139,1.6246919423431913e-07,HI_21cm,optical
2758,2789,0,-137,27.756,0.018,,,27.595,0.68,,,,,,,27.8,0.02,27.607,0.037,,,11.7857,-20.7604,True,True,True,NGC 0247,84.5,2.0,False,-0.1930000000000014,0.04205948168962618,3570.125,1.0,2.936781910630759e-08,HI_21cm,optical
3238,3238,0,-89,26.443,0.045,,,26.705,0.4,,,,,,,26.55,0.06,26.289,0.07,,,13.723,-37.6845,True,True,True,NGC 0300,89.4,2.1,False,-0.26099999999999923,0.09219544457292887,3996.1800000000003,1.0,3.410832030262684e-08,HI_21cm,optical
3844,3844,0,-557,24.277,0.028,,,,,,,,,,,24.34,0.06,24.26,0.031,,,16.1991,2.1177,True,True,True,IC 1613,26.8,1.1,False,-0.0799999999999983,0.06753517601961218,359.11999999999995,1.0,-6.359429826076911e-09,HI_21cm,optical
5818,2557,0,-456,24.654,0.04,,,,,,,,,,,24.8,0.08,24.606,0.046,,,23.4621,30.6599,True,True,True,NGC 0598 (M33),100.1,1.7,False,-0.19399999999999906,0.09228217596047461,5010.004999999999,1.0,4.538864473341243e-08,HI_21cm,optical
9332,9332,0,326,29.795,0.033,,,28.965,0.39,,,,,,,29.85,0.06,29.779,0.04,,,36.8203,33.579,True,True,True,NGC 0925,105.6,2.1,False,-0.0710000000000015,0.07211102550927978,5575.679999999999,0.9406490568972323,4.8000625605563856e-08,HI_21cm,optical
13179,13418,0,1568,31.363,0.046,31.103,0.23,30.645,0.4,,,,,,,31.4,0.09,31.378,0.056,,,53.4016,-36.1405,True,True,True,NGC 1365,198.3,3.0,True,-0.021999999999998465,0.106,19661.444999999996,0.1292709906890823,1.792454121703198e-08,nuclear_optical,NIR
13727,13727,0,1097,31.284,0.033,31.203,0.11,31.105,0.4,,,,,,,31.33,0.09,31.287,0.037,,,56.1327,-44.6446,True,True,True,NGC 1448,185.1,2.0,True,-0.04299999999999926,0.09730878685915265,17131.004999999997,0.7767538942827101,1.377004337835433e-07,nuclear_optical,NIR
