CID,RA,DEC,zCMB,HOST_LOGMASS,IS_CALIBRATOR,V_rot,V_rot_source,U_i,X_i
2011fe,210.774,54.2737,0.00122,10.677,1,274.1,measured,37565.405,3.334352722964997e-07
2012cg,186.803,9.4203,0.00256,9.633,1,28.6,measured,408.97999999999996,-7.998571129352108e-08
1994DRichmond,188.51,7.7016,0.00299,8.46247,0,61.8938496569724,tully-fisher,1915.4243126799506,-6.322425780407106e-08
1981B,188.623,2.1998,0.0035,9.686,1,110.096526,measured,6060.622518634336,-1.710270764198598e-08
2013aa,218.141,-44.2244,0.00478,10.53,1,171.2,measured,14654.719999999998,7.851952280173167e-08
2017cbv,218.143,-44.1341,0.00478,10.449,1,171.2,measured,14654.719999999998,7.851952280173167e-08
2001el,56.1275,-44.6398,0.00357,11.28,1,185.1,measured,17131.004999999997,1.0607190924227903e-07
2011by,178.94,55.3256,0.00369,10.417,1,77.781746,measured,3025.000005404257,-5.087856323701672e-08
1998aq,179.108,55.1287,0.00369,10.199,1,138.310086,measured,9564.8399446637,2.1886969512970402e-08
1990N,190.736,13.2565,0.00462,9.802,1,117.309015,measured,6880.702500135111,-7.978087268133104e-09
2021pit,56.1257,-44.6325,0.00366,-9.0,1,0.002667042864326648,tully-fisher,3.5565588200778454e-06,-8.45362274531971e-08
2005df,64.4077,-62.7693,0.00435,10.375,1,186.1144081859398,tully-fisher,17319.286467201302,1.0816682309263291e-07
2005df_ANU,64.4077,-62.7693,0.00435,9.552,1,115.88573928537618,tully-fisher,6714.752284859088,-9.824532431422878e-09
2013dy,334.573,40.5693,0.00293,9.131,1,50.275292,measured,1263.802492842632,-7.047452834774858e-08
2012ht,163.345,16.7764,0.00465,9.53,1,32.880465,measured,540.5624893081124,-7.852165865247762e-08
1980N,50.7513,-37.2139,0.0046,11.314,0,319.54350581172804,tully-fisher,51054.02605322493,4.835164220060672e-07
2012fr,53.4,-36.1271,0.0046,10.732,1,198.3,measured,19661.444999999996,1.342268513206822e-07
2007on,54.7125,-35.5753,0.0046,11.2901,0,315.17734709312225,tully-fisher,49668.38006032922,4.680990310894082e-07
1992A,54.1142,-34.9587,0.0046,11.5,0,355.6558820077846,tully-fisher,63245.55320336759,6.191654556759216e-07
2015F,114.066,-69.5064,0.00515,12.198,1,160.301107,measured,12848.222452712724,5.841952682923258e-08
2011B,133.952,78.2174,0.00458,11.08,0,279.27367221118755,tully-fisher,38996.891995160906,3.4936271315055777e-07
2018aoz,177.758,-28.7441,0.00701,9.85343,0,146.936789,measured,10795.20998081526,3.557668240987766e-08
2016coj,182.028,65.1772,0.00489,11.036,0,272.2889364931899,tully-fisher,37070.6324682962,3.2793018544515947e-07
SN2016coj,182.028,65.1772,0.00489,11.036,0,272.2889364931899,tully-fisher,37070.6324682962,3.2793018544515947e-07
2007sr,180.47,-18.9728,0.0066,10.682,1,169.1,measured,14297.404999999997,7.454385725394369e-08
2007gi,180.348,61.8927,0.00505,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
1994ae,161.758,17.2752,0.0054,10.196,1,167.89199730387946,tully-fisher,14093.861379342934,7.227912904460931e-08
2015bp,226.375,1.634,0.00603,8.048,0,48.756216367375046,tully-fisher,1188.5843172311447,-7.13114434208523e-08
2018gv,121.394,-11.4379,0.00596,10.06,1,89.66114,measured,4019.5600130497996,-3.9812590754461725e-08
1981D,50.6599,-37.2327,0.00551,11.314,0,319.54350581172804,tully-fisher,51054.02605322493,4.835164220060672e-07
2006dd,50.6734,-37.2036,0.00551,11.01,0,268.2439870810742,tully-fisher,35977.418302575745,3.157665374174847e-07
2007af,215.588,-0.3938,0.00635,10.331,1,181.45961941119526,tully-fisher,16463.796738427915,9.864821614590287e-08
2007le,354.702,-6.5226,0.00552,9.02452,0,85.5381780598791,tully-fisher,3658.389952901791,-4.383114963114743e-08
