CID,sn_ra,sn_dec,zCMB,HOST_LOGMASS,IS_CALIBRATOR,pgc,galaxy_name,match_sep_arcsec,log_2Vm,e_log_2Vm,u_log_2Vm,vmax_apparent,VHI,e_VHI,m21,logR25,inclination_deg,v_rot,v_rot_log,mtype,v_rot_alfalfa,w50_alfalfa,v_rot_sparc,v_rot_deep,v_rot_source
2011fe,210.774,54.2737,0.00122,10.677,1,,,,,,,,,,,,,,,,,,,,None
2012cg,186.803,9.4203,0.00256,9.633,1,40809.0,NGC4424,15.4200000001486,1.7669999599456787,0.0540000014007091,0.0,29.23950151050904,439.0,4.0,16.18000030517578,0.270000010728836,59.424190634892426,33.961633276140624,33.961633276140624,SBa,,,,33.961633276140624,HyperLEDA
1994DRichmond,188.51,7.7016,0.00299,8.46247,0,41772.0,NGC4526,13.674340934750624,2.4549999237060547,0.0340000018477439,0.0,142.5508883328081,601.0,26.0,13.56999969482422,0.449999988079071,72.59538156068751,149.39055242290456,149.39055242290456,SO,,,,149.39055242290456,HyperLEDA
1981B,188.623,2.1998,0.0035,9.686,1,41823.0,NGC4536,56.63531054035196,2.4639999866485596,0.0189999993890523,0.0,145.5358514291466,1800.0,3.0,12.93000030517578,0.3799999952316284,68.08060555469923,156.87645921099912,156.87645921099912,SBbc,,,,156.87645921099912,HyperLEDA
2013aa,218.141,-44.2244,0.00478,10.53,1,,,,,,,,,,,,,,,,,,,,None
2017cbv,218.143,-44.1341,0.00478,10.449,1,,,,,,,,,,,,,,,,,,,,None
2001el,56.1275,-44.6398,0.00357,11.28,1,13727.0,NGC1448,24.432118205328308,2.571000099182129,0.0120000001043081,0.0,186.19589564982135,1168.0,4.0,12.489999771118164,0.6600000262260437,84.80750729478716,186.9631427708393,186.9631427708393,Sc,,,,186.9631427708393,HyperLEDA
2011by,178.94,55.3256,0.00369,10.417,1,37466.0,NGC3972,20.575606916953237,2.3499999046325684,0.0199999995529651,0.0,111.93603234819888,851.0,7.0,14.6899995803833,0.5699999928474426,79.4067649734536,113.87682811157524,113.87682811157524,SBbc,,,132.6999969482422,132.6999969482422,SPARC
1998aq,179.108,55.1287,0.00369,10.199,1,37520.0,NGC3982,38.46495027935481,2.2730000019073486,0.0209999997168779,0.0,93.74972581510404,1108.0,6.0,14.279999732971191,0.0599999986588954,30.09793122596416,186.94627801203052,186.94627801203052,SBb,,,,186.94627801203052,HyperLEDA
1990N,190.736,13.2565,0.00462,9.802,1,42741.0,NGC4639,62.10289848325064,2.4189999103546143,0.0299999993294477,0.0,131.21090008517322,984.0,8.0,14.40999984741211,0.1599999964237213,47.47215110988318,178.04613642091945,178.04613642091945,SBbc,,,,178.04613642091945,HyperLEDA
2021pit,56.1257,-44.6325,0.00366,-9.0,1,13727.0,NGC1448,48.5382364739185,2.571000099182129,0.0120000001043081,0.0,186.19589564982135,1168.0,4.0,12.489999771118164,0.6600000262260437,84.80750729478716,186.9631427708393,186.9631427708393,Sc,,,,186.9631427708393,HyperLEDA
2005df,64.4077,-62.7693,0.00435,10.375,1,14814.0,NGC1559,55.136184126203176,2.380000114440918,0.0289999991655349,0.0,119.94167755679602,1295.0,4.0,13.420000076293944,0.2800000011920929,60.31645361613234,138.0585869020543,138.0585869020543,SBc,,,,138.0585869020543,HyperLEDA
2005df_ANU,64.4077,-62.7693,0.00435,9.552,1,14814.0,NGC1559,55.136184126203176,2.380000114440918,0.0289999991655349,0.0,119.94167755679602,1295.0,4.0,13.420000076293944,0.2800000011920929,60.31645361613234,138.0585869020543,138.0585869020543,SBc,,,,138.0585869020543,HyperLEDA
2013dy,334.573,40.5693,0.00293,9.131,1,68535.0,NGC7250,25.134844340058137,2.188999891281128,0.0270000007003545,0.0,77.26270263540178,1162.0,10.0,15.460000038146973,0.1199999973177909,41.68377078099997,116.18122368969291,116.18122368969291,,,,,116.18122368969291,HyperLEDA
2012ht,163.345,16.7764,0.00465,9.53,1,32694.0,NGC3447,25.249388111383897,2.0269999504089355,0.0540000014007091,0.0,53.20714483561685,1071.0,5.0,13.760000228881836,0.2300000041723251,55.57973309955202,64.50026350040795,64.50026350040795,,,,,64.50026350040795,HyperLEDA
1980N,50.7513,-37.2139,0.0046,11.314,0,,,,,,,,,,,,,,,,,,,,None
2012fr,53.4,-36.1271,0.0046,10.732,1,13179.0,NGC1365,40.14677571112297,2.559000015258789,0.0179999992251396,0.0,181.12150557199175,1636.0,4.0,12.43000030517578,0.2300000041723251,55.57973309955202,219.56421211994612,219.56421211994612,SBb,,,,219.56421211994612,HyperLEDA
2007on,54.7125,-35.5753,0.0046,11.2901,0,13433.0,NGC1404,65.76364041018485,2.4149999618530273,0.0199999995529651,0.0,130.00796673879876,1900.0,21.0,,0.6200000047683716,82.23068062913572,131.2124483176472,131.2124483176472,Sc,,,,131.2124483176472,HyperLEDA
1992A,54.1142,-34.9587,0.0046,11.5,0,13318.0,NGC1380,59.69595296164832,2.6989998817443848,0.0199999995529651,0.0,250.0171994103925,1844.0,16.0,,0.2599999904632568,58.50598699409827,293.2083226187074,293.2083226187074,SO,,,,293.2083226187074,HyperLEDA
2015F,114.066,-69.5064,0.00515,12.198,1,,,,,,,,,,,,,,,,,,,,None
2011B,133.952,78.2174,0.00458,11.08,0,,,,,,,,,,,,,,,,,,,,None
