CID,zCMB,vrot,e_vrot,pgc,galaxy_name,match_sep_arcsec,source
2011fe,0.00122,,,4398683,SDSSJ140301.22+541530.9,87.06820229170744,HYPERLEDA_QUERY
2012cg,0.00256,28.57,1.09,40809,NGC4424,15.48667511245111,HYPERLEDA_QUERY
1994DRichmond,0.00299,150.41,,41772,NGC4526,12.442713991863716,HYPERLEDA_QUERY
1981B,0.0035,155.66,2.82,41823,NGC4536,56.19901231441538,HYPERLEDA_QUERY
2013aa,0.00478,,,539240,PGC539240,190.6194943336073,HYPERLEDA_QUERY
2017cbv,0.00478,171.24,4.33,51969,NGC5643,174.03038497105956,HYPERLEDA_QUERY
2001el,0.00357,185.1,1.98,13727,NGC1448,25.338140363509922,HYPERLEDA_QUERY
2011by,0.00369,110.03,3.98,37466,NGC3972,19.11436219762588,HYPERLEDA_QUERY
1998aq,0.00369,195.62,6.63,37520,NGC3982,35.31989276525558,HYPERLEDA_QUERY
1990N,0.00462,,,4661541,NGC4639:[EKS96]181,5.367920211759435,HYPERLEDA_QUERY
2021pit,0.00366,185.1,1.98,13727,NGC1448,50.166607095555904,HYPERLEDA_QUERY
2005df,0.00435,134.29,1.67,14814,NGC1559,60.30991346583491,HYPERLEDA_QUERY
2005df_ANU,0.00435,134.29,1.67,14814,NGC1559,60.30991346583491,HYPERLEDA_QUERY
2013dy,0.00293,,,214816,PGC214816,9.608485791278634,HYPERLEDA_QUERY
2012ht,0.00465,,,5092873,SDSSJ105323.91+164638.3,16.988324631722566,HYPERLEDA_QUERY
1980N,0.0046,,,4662957,PGC4662957,62.344164762466335,HYPERLEDA_QUERY
2012fr,0.0046,198.29,2.99,13179,NGC1365,48.638421945616244,HYPERLEDA_QUERY
2007on,0.0046,,,6738402,[BAL2007]GC1404N,46.46027680682561,HYPERLEDA_QUERY
1992A,0.0046,,,13318,NGC1380,62.67303593783844,HYPERLEDA_QUERY
2015F,0.00515,226.73,10.37,21373,NGC2442,148.09766666874057,HYPERLEDA_QUERY
2011B,0.00458,95.47,3.34,25069,NGC2655,152.79853745754153,HYPERLEDA_QUERY
2018aoz,0.00701,,,37061,NGC3923,222.68509954573346,HYPERLEDA_QUERY
2016coj,0.00489,,,38524,NGC4125,15.659126814272167,HYPERLEDA_QUERY
SN2016coj,0.00489,,,38524,NGC4125,15.659126814272167,HYPERLEDA_QUERY
2007sr,0.0066,,,860965,PGC860965,131.39684951840627,HYPERLEDA_QUERY
2007gi,0.00505,,,3440685,SDSSJ120125.49+615339.7,30.131274204136506,HYPERLEDA_QUERY
1994ae,0.0054,149.44,2.96,32207,NGC3370,32.25715191714888,HYPERLEDA_QUERY
2015bp,0.00603,,,53865,NGC5839,38.18575720345062,HYPERLEDA_QUERY
2018gv,0.00596,126.85,3.09,22721,NGC2525,65.02692836660242,HYPERLEDA_QUERY
1981D,0.00551,,,6740325,PGC6740325,72.99737993764725,HYPERLEDA_QUERY
2006dd,0.00551,,,12651,NGC1316,17.850483018670538,HYPERLEDA_QUERY
2007af,0.00635,124.69,2.88,51344,NGC5584,45.57971451687745,HYPERLEDA_QUERY
2007le,0.00552,141.43,1.85,72001,NGC7721,16.60881468377884,HYPERLEDA_QUERY
1998dm,0.00567,114.33,,5341,PGC005341,35.725411620548066,HYPERLEDA_QUERY
2014bv,0.00548,,,40378,NGC4386,46.703781846399394,HYPERLEDA_QUERY
2019np,0.0055,,,5243232,SDSSJ102917.75+293006.4,72.27988313009809,HYPERLEDA_QUERY
1997br,0.00801,,,820157,PGC820157,4.74790324761686,HYPERLEDA_QUERY
2011iv,0.00594,,,13433,NGC1404,11.079851807399427,HYPERLEDA_QUERY
1995al,0.00592,,,5952815,SDSSJ095055.99+333316.5,7.316419017509104,HYPERLEDA_QUERY
1996X,0.00812,,,46330,NGC5061,66.4908554016291,HYPERLEDA_QUERY
2017erp,0.00727,158.47,2.18,54097,NGC5861,48.72388746434932,HYPERLEDA_QUERY
1992G,0.00611,208.55,4.26,31428,NGC3294,35.700864612451355,HYPERLEDA_QUERY
2005cf,0.00703,,,5066294,[MK2011]NGC5917,33.907094767534346,HYPERLEDA_QUERY
2002fk,0.00668,162.09,4.86,12626,NGC1309,13.005254792796016,HYPERLEDA_QUERY
2003du,0.00664,75.66,2.78,52091,UGC09391,23.067343532657894,HYPERLEDA_QUERY
2008Q,0.00722,,,5222,NGC0524,149.09121002127475,HYPERLEDA_QUERY
2003kf,0.00769,105.81,,18373,PGC018373,16.021013262787957,HYPERLEDA_QUERY
1998dh,0.00769,,,5066382,[MK2011]NGC7541,44.56686233016121,HYPERLEDA_QUERY
2012hr,0.00788,,,5068189,PGC5068189,1.1046143464454472,HYPERLEDA_QUERY
2009ig,0.00801,120.68,4.22,9988,NGC1015,22.410484913308075,HYPERLEDA_QUERY
1996Z,0.00867,,,3744391,2MASXJ09364263-2108241,43.38253383166308,HYPERLEDA_QUERY
1995D,0.0078,203.94,6.36,27635,NGC2962,91.53546539435435,HYPERLEDA_QUERY
1991M,0.00758,111.89,1.96,56537,IC1151,69.9873171334458,HYPERLEDA_QUERY
2013gh,0.00775,202.99,,67892,NGC7183,3.4249418631672666,HYPERLEDA_QUERY
2001bg,0.00796,,,5953078,SDSSJ083518.18+282822.4,20.1786743866448,HYPERLEDA_QUERY
2005W,0.00861,,,3626199,2MASXJ01504614+2145261,11.238113720720811,HYPERLEDA_QUERY
ASASSN-15so,0.00773,181.42,5.73,34232,NGC3583,2.189896333878596,HYPERLEDA_QUERY
PSNJ0717457,0.00812,158.26,,20592,NGC2357,81.92965314555735,HYPERLEDA_QUERY
2005am,0.00841,,,5066090,[MK2011]NGC2811,20.865547037214522,HYPERLEDA_QUERY
1997bp,0.00931,94.54,8.48,43118,NGC4680,24.510756414542417,HYPERLEDA_QUERY
2019ein,0.00837,,,49356,NGC5353,44.41859922825468,HYPERLEDA_QUERY
2002er,0.00853,94.75,4.36,59782,UGC10743,11.282503088844791,HYPERLEDA_QUERY
2006D,0.00966,122.07,6.66,43690,PGC043690,13.107357069509407,HYPERLEDA_QUERY
2013cs,0.01029,35.09,1.94,46097,ESO576-017,31.808450342298407,HYPERLEDA_QUERY
1999cp,0.00998,150.92,4.42,50323,NGC5468,59.720709689508425,HYPERLEDA_QUERY
2002cr,0.00998,150.92,4.42,50323,NGC5468,64.26320413592752,HYPERLEDA_QUERY
2002dj,0.01051,73.95,,45908,NGC5018,11.808933789868625,HYPERLEDA_QUERY
1998es,0.00957,148.43,9.27,6007,NGC0632,12.537709120503331,HYPERLEDA_QUERY
PTF10icb,0.009,,,43983,PGC043983,8.731529932733675,HYPERLEDA_QUERY
2009Y,0.0105,224.38,7.97,52521,NGC5728,22.422572499308078,HYPERLEDA_QUERY
2013E,0.01042,53.38,2.65,28915,IC2532,19.680243922269554,HYPERLEDA_QUERY
1999ac,0.00979,143.58,4.37,57205,NGC6063,37.20468959956423,HYPERLEDA_QUERY
2009an,0.00921,178.59,9.55,40133,NGC4332,27.792525131110946,HYPERLEDA_QUERY
2006bh,0.01042,250.91,4.09,69453,NGC7329,123.57262451685823,HYPERLEDA_QUERY
2004S,0.0098,32.94,,19558,ESO427-006,48.84735053793241,HYPERLEDA_QUERY
2021hpr,0.00958,334.65,13.18,30019,NGC3147,225.5595676927323,HYPERLEDA_QUERY
2002dp,0.01049,200.76,4.56,71534,NGC7678,47.8915444660135,HYPERLEDA_QUERY
1997do,0.01048,121.28,6.55,21020,UGC03845,4.031851111503211,HYPERLEDA_QUERY
1997bq,0.00993,334.65,13.18,30019,NGC3147,184.29078684757974,HYPERLEDA_QUERY
2008fv_comb,0.00993,334.65,13.18,30019,NGC3147,64.71979776329107,HYPERLEDA_QUERY
