CID,sn_ra,sn_dec,zCMB,HOST_LOGMASS,IS_CALIBRATOR,pgc,galaxy_name,match_sep_arcsec,log_2Vm,e_log_2Vm,u_log_2Vm,vmax_apparent,VHI,e_VHI,m21,logR25,inclination_deg,v_rot,v_rot_log,mtype
2011fe,210.774,54.2737,0.00122,10.677,1,,,,,,,,,,,,,,,
2012cg,186.803,9.4203,0.00256,9.633,1,40809.0,NGC4424,15.420000000148601,1.7669999599456787,0.05400000140070915,0.0,29.23950151050904,439.0,4.0,16.18000030517578,0.27000001072883606,59.424190634892426,33.961633276140624,33.961633276140624,SBa
1994DRichmond,188.51,7.7016,0.00299,8.46247,0,41772.0,NGC4526,13.674340934750624,2.4549999237060547,0.03400000184774399,0.0,142.5508883328081,601.0,26.0,13.569999694824219,0.44999998807907104,72.59538156068751,149.39055242290456,149.39055242290456,SO
1981B,188.623,2.1998,0.0035,9.686,1,41823.0,NGC4536,56.63531054035196,2.4639999866485596,0.01899999938905239,0.0,145.5358514291466,1800.0,3.0,12.930000305175781,0.3799999952316284,68.08060555469923,156.87645921099912,156.87645921099912,SBbc
2013aa,218.141,-44.2244,0.00478,10.53,1,,,,,,,,,,,,,,,
2017cbv,218.143,-44.1341,0.00478,10.449,1,,,,,,,,,,,,,,,
2001el,56.1275,-44.6398,0.00357,11.28,1,13727.0,NGC1448,24.432118205328308,2.571000099182129,0.012000000104308128,0.0,186.19589564982135,1168.0,4.0,12.489999771118164,0.6600000262260437,84.80750729478716,186.9631427708393,186.9631427708393,Sc
2011by,178.94,55.3256,0.00369,10.417,1,37466.0,NGC3972,20.575606916953237,2.3499999046325684,0.019999999552965164,0.0,111.93603234819888,851.0,7.0,14.6899995803833,0.5699999928474426,79.4067649734536,113.87682811157525,113.87682811157525,SBbc
1998aq,179.108,55.1287,0.00369,10.199,1,37520.0,NGC3982,38.46495027935481,2.2730000019073486,0.020999999716877937,0.0,93.74972581510403,1108.0,6.0,14.279999732971191,0.05999999865889549,30.09793122596416,186.94627801203052,186.94627801203052,SBb
1990N,190.736,13.2565,0.00462,9.802,1,42741.0,NGC4639,62.10289848325064,2.4189999103546143,0.029999999329447746,0.0,131.21090008517322,984.0,8.0,14.40999984741211,0.1599999964237213,47.47215110988318,178.04613642091945,178.04613642091945,SBbc
2021pit,56.1257,-44.6325,0.00366,-9.0,1,13727.0,NGC1448,48.5382364739185,2.571000099182129,0.012000000104308128,0.0,186.19589564982135,1168.0,4.0,12.489999771118164,0.6600000262260437,84.80750729478716,186.9631427708393,186.9631427708393,Sc
2005df,64.4077,-62.7693,0.00435,10.375,1,14814.0,NGC1559,55.136184126203176,2.380000114440918,0.028999999165534973,0.0,119.94167755679602,1295.0,4.0,13.420000076293945,0.2800000011920929,60.31645361613234,138.0585869020543,138.0585869020543,SBc
2005df_ANU,64.4077,-62.7693,0.00435,9.552,1,14814.0,NGC1559,55.136184126203176,2.380000114440918,0.028999999165534973,0.0,119.94167755679602,1295.0,4.0,13.420000076293945,0.2800000011920929,60.31645361613234,138.0585869020543,138.0585869020543,SBc
2013dy,334.573,40.5693,0.00293,9.131,1,68535.0,NGC7250,25.134844340058134,2.188999891281128,0.027000000700354576,0.0,77.26270263540178,1162.0,10.0,15.460000038146973,0.11999999731779099,41.68377078099997,116.18122368969291,116.18122368969291,
2012ht,163.345,16.7764,0.00465,9.53,1,32694.0,NGC3447,25.249388111383897,2.0269999504089355,0.05400000140070915,0.0,53.20714483561685,1071.0,5.0,13.760000228881836,0.23000000417232513,55.57973309955202,64.50026350040795,64.50026350040795,
1980N,50.7513,-37.2139,0.0046,11.314,0,,,,,,,,,,,,,,,
2012fr,53.4,-36.1271,0.0046,10.732,1,13179.0,NGC1365,40.14677571112297,2.559000015258789,0.017999999225139618,0.0,181.12150557199175,1636.0,4.0,12.430000305175781,0.23000000417232513,55.57973309955202,219.56421211994612,219.56421211994612,SBb
2007on,54.7125,-35.5753,0.0046,11.2901,0,13433.0,NGC1404,65.76364041018485,2.4149999618530273,0.019999999552965164,0.0,130.00796673879876,1900.0,21.0,,0.6200000047683716,82.23068062913572,131.2124483176472,131.2124483176472,Sc
1992A,54.1142,-34.9587,0.0046,11.5,0,13318.0,NGC1380,59.69595296164832,2.6989998817443848,0.019999999552965164,0.0,250.0171994103925,1844.0,16.0,,0.25999999046325684,58.50598699409827,293.2083226187074,293.2083226187074,SO
2015F,114.066,-69.5064,0.00515,12.198,1,,,,,,,,,,,,,,,
2011B,133.952,78.2174,0.00458,11.08,0,,,,,,,,,,,,,,,
2018aoz,177.758,-28.7441,0.00701,9.85343,0,,,,,,,,,,,,,,,
2016coj,182.028,65.1772,0.00489,11.036,0,38524.0,NGC4125,13.482447848961675,,,,,,,,0.10999999940395355,40.0479631355386,,,E
SN2016coj,182.028,65.1772,0.00489,11.036,0,38524.0,NGC4125,13.482447848961675,,,,,,,,0.10999999940395355,40.0479631355386,,,E
2007sr,180.47,-18.9728,0.0066,10.682,1,,,,,,,,,,,,,,,
2007gi,180.348,61.8927,0.00505,7.0,0,37930.0,NGC4036,50.476513350270075,,,,,,,,0.36000001430511475,66.67142237937365,,,E-SO
1994ae,161.758,17.2752,0.0054,10.196,1,32207.0,NGC3370,30.072718533495763,2.390000104904175,0.012000000104308128,0.0,122.73547543109888,1281.0,4.0,14.109999656677246,0.23999999463558197,56.58550530533143,147.03991187079217,147.03991187079217,Sc
2015bp,226.375,1.634,0.00603,8.048,0,53865.0,NGC5839,37.534117813065976,,,,,,,,0.05000000074505806,27.571955431350222,,,SO
2018gv,121.394,-11.4379,0.00596,10.06,1,22721.0,NGC2525,62.59835141597469,2.2709999084472656,0.023000000044703484,0.0,93.31896486935068,1584.0,5.0,14.760000228881836,0.1599999964237213,47.47215110988318,126.62881772018953,126.62881772018953,SBc
1981D,50.6599,-37.2327,0.00551,11.314,0,12651.0,NGC1316,101.22024501055918,2.430999994277954,0.019999999552965164,0.0,134.88696984504307,1775.0,17.0,,0.20000000298023224,52.35549301228906,170.35152604906568,170.35152604906568,SO
