6dFGS,RAJ2000,DEJ2000,czgal,czgr,log(Dz/DH),e_log(Dz/DH)
g0000144-765225,0.05985,-76.8736,15941,,0.1039,0.1296
g0000222-013746,0.09225,-1.6295,11123,,0.087,0.0954
g0000235-065610,0.0978,-6.9362,10920,,0.0282,0.1073
g0000251-260240,0.10455,-26.0445,14926,,0.0871,0.1065
g0000356-014547,0.1485,-1.7632,6956,,-0.0743,0.1165
g0000358-403432,0.14895,-40.5756,14746,,-0.056,0.1532
g0000428-721715,0.17835,-72.2874,10366,,-0.0486,0.1123
g0000459-815803,0.19125,-81.9674,12646,,-0.0131,0.1201
g0000523-355037,0.2181,-35.8437,15324,14646,-0.0219,0.1145
g0000532-355911,0.22155,-35.9863,14725,14646,0.0421,0.1077
g0000558-255421,0.23235,-25.9058,14835,,0.0275,0.1022
g0001010-434516,0.2541,-43.7543,11553,11551,-0.0387,0.1225
g0001011-435136,0.2544,-43.8599,11554,11551,-0.2984,0.143
g0001060-535931,0.27495,-53.9918,9238,,0.0355,0.0943
g0001330-072610,0.3873,-7.4361,8493,8508,0.032,0.1066
g0001341-361900,0.39225,-36.3167,14397,,0.1888,0.0982
g0001361-144455,0.4002,-14.7487,10966,,-0.013,0.1024
g0001453-042049,0.43875,-4.3469,14005,,0.0272,0.1074
g0002177-434517,0.5739,-43.7547,12033,,-0.157,0.1257
g0002198-435220,0.58245,-43.8721,11344,11551,-0.2402,0.1606
g0002248-544560,0.60315,-54.7665,9603,10096,-0.2048,0.1213
g0002391-384627,0.663,-38.7741,14858,,-0.0629,0.1427
g0002441-435802,0.68385,-43.9672,11615,11551,0.022,0.1042
g0002443-534455,0.68445,-53.7486,10287,10825,-0.0974,0.1023
g0002547-354319,0.7278,-35.7221,14365,14646,-0.0207,0.1102
g0003055-540211,0.77295,-54.0364,10678,10825,-0.0177,0.1165
g0003213-355622,0.8388,-35.9395,13946,14646,-0.0187,0.1303
g0003214-500450,0.83895,-50.0805,10147,10352,-0.0497,0.0971
g0003468-551419,0.94485,-55.2386,9845,,0.1169,0.105
g0003487-433706,0.95295,-43.6183,8795,,-0.0187,0.1121
g0003518-120609,0.966,-12.1026,12670,,0.0735,0.1066
g0003572-614657,0.9882,-61.7825,8774,,-0.1612,0.1212
g0004060-513457,1.0251,-51.5825,10125,,-0.1629,0.1316
g0004121-143125,1.0503,-14.5237,6859,,-0.02,0.1042
g0004182-250606,1.07565,-25.1017,14834,,-0.1359,0.1338
g0004284-525414,1.1184,-52.9039,9053,9671,-0.1996,0.1261
g0004422-302901,1.176,-30.4836,7718,7778,0.0326,0.0907
g0004517-542914,1.21545,-54.4873,10711,10096,0.0381,0.0938
g0004582-600135,1.2426,-60.0262,8884,,-0.0043,0.0973
g0005037-552033,1.2654,-55.3424,11225,,0.0007,0.1181
g0005054-533307,1.27245,-53.552,10226,,-0.2019,0.1163
g0005096-535801,1.29015,-53.9671,10948,10825,-0.1403,0.1077
g0005112-502053,1.2969,-50.3481,10509,10352,0.1633,0.0931
g0005271-133137,1.3629,-13.527,11024,,-0.0697,0.1235
g0005279-503455,1.36605,-50.5819,10420,10352,-0.116,0.1024
g0005400-534901,1.41645,-53.8169,10857,10825,-0.1509,0.105
g0005445-183651,1.4355,-18.6141,15654,,0.1026,0.1048
g0005569-135945,1.4871,-13.9958,5389,,-0.0345,0.1265
g0005596-531636,1.4982,-53.2766,9745,9671,0.0259,0.1192
g0006036-521308,1.51485,-52.2188,9919,,0.0581,0.0976
g0006084-503850,1.5351,-50.6473,10001,10352,-0.0362,0.0971
g0006153-524641,1.56375,-52.778,10702,,0.0434,0.0977
g0006285-034258,1.61865,-3.7161,5851,,0.0806,0.091
g0006288-534938,1.62,-53.8273,10828,10825,0.0167,0.1048
g0006317-122851,1.63215,-12.4809,13960,,0.0774,0.1254
g0006327-521041,1.63635,-52.1781,10339,,-0.1057,0.1463
g0006379-531154,1.6581,-53.1984,10914,,-0.166,0.1477
g0006430-604346,1.6791,-60.7296,10687,,-0.0493,0.1155
g0006484-510613,1.70145,-51.1035,10093,10352,-0.0507,0.1193
g0006527-502454,1.7196,-50.4151,9910,10352,0.004,0.0975
g0007303-610926,1.8762,-61.1571,8801,,0.05,0.1065
g0007325-533139,1.8852,-53.5276,10796,,-0.1119,0.1157
g0007446-015645,1.9359,-1.9459,10976,,-0.0182,0.1183
g0007486-544630,1.95255,-54.7749,9394,,0.126,0.0998
g0007527-484800,1.96935,-48.8001,10561,,0.0466,0.107
g0008249-051305,2.10375,-5.2179,11280,,-0.1525,0.1586
g0008259-003631,2.1078,-0.6087,11784,,-0.1722,0.1308
g0008343-105658,2.1429,-10.9494,8772,,-0.0639,0.1234
g0008362-584804,2.151,-58.8012,9117,,-0.2326,0.1267
g0008466-565900,2.19435,-56.9833,8118,9152,-0.104,0.0995
g0008566-534936,2.2356,-53.8267,12417,,0.0284,0.1043
g0009005-042230,2.25195,-4.3751,8761,,-0.2265,0.1366
g0009021-794959,2.25855,-79.833,11194,,-0.0653,0.1008
g0009264-350825,2.3598,-35.1402,14514,14487,0.0342,0.1066
g0009517-351849,2.46525,-35.3137,15384,14487,0.0175,0.1111
g0010161-004350,2.56695,-0.7306,11455,,-0.0183,0.111
g0010163-365148,2.568,-36.8633,8226,8386,0.0694,0.1214
g0010185-570637,2.57715,-57.1102,9138,9152,-0.1112,0.1208
g0010234-070504,2.59755,-7.0844,5948,,0.0624,0.0942
g0010393-564813,2.66355,-56.8035,10335,,0.0694,0.1029
g0010418-042755,2.67435,-4.4653,11160,,0.0157,0.1094
g0010428-201929,2.6784,-20.3246,15661,,-0.0219,0.1081
g0011126-333443,2.80245,-33.5786,7583,7581,0.2165,0.0993
g0011229-565726,2.8455,-56.9573,9617,9152,-0.0786,0.0996
g0011269-032826,2.862,-3.4738,11100,,-0.2854,0.1247
g0011416-565547,2.92335,-56.9297,9167,9152,-0.1135,0.1004
g0011436-183103,2.93175,-18.5176,15656,,-0.0567,0.1219
g0011596-193123,2.99835,-19.523,15509,,-0.0215,0.1043
g0012061-002455,3.0252,-0.4152,5100,,0.0396,0.0957
g0012109-192939,3.0453,-19.494,15689,,0.0081,0.1058
g0012116-105541,3.04845,-10.9281,5056,,-0.1082,0.1032
g0012145-271124,3.06045,-27.1899,10167,,0.1286,0.0995
g0012187-370444,3.078,-37.0788,14973,,-0.0083,0.1144
g0012337-000255,3.1404,-0.0485,11576,,0.0781,0.1288
g0012593-064623,3.24705,-6.7732,11494,,-0.1038,0.119
g0013036-054331,3.2652,-5.7253,11583,,-0.0267,0.1072
g0013154-492027,3.3144,-49.3408,9786,,0.1201,0.1069
