recno,Gal,Z,e_Z,dZ/dr,e_dZ/dr,rms,Flag,Nobs,Nc,Ns,Nhii,Pmin,Phot,Simbad,NED,_RA,_DE
1,M101,9.204,0.060,-0.032,0.003,0.09,"a,f",28,538,100,0,5,N,Simbad,NED,210.80243,54.34875
2,N1015,9.423,0.178,-0.050,0.020,0.18,f,12,27,50,4,25,W,Simbad,NED,39.54819,-1.31862
3,N1309,9.075,0.057,-0.072,0.010,0.08,,15,64,50,6,38,VI,Simbad,NED,50.52732,-15.39994
4,N1365,9.343,0.051,-0.046,0.004,0.15,,16,81,50,11,10,WF,Simbad,NED,53.40191,-36.14066
5,N1448,9.083,0.063,-0.030,0.004,0.15,,11,89,50,6,15,W,Simbad,NED,56.13298,-44.64483
6,N2442,9.315,0.168,-0.050,0.020,,"b,f",12,433,50,0,15,W,Simbad,NED,114.09934,-69.53082
7,N3021,9.154,0.082,-0.121,0.027,0.08,,15,23,50,10,15,VI,Simbad,NED,147.73811,33.55359
8,N3370,9.081,0.043,-0.070,0.008,0.06,,15,79,50,11,23,VI,Simbad,NED,161.76683,17.27370
9,N3447,8.810,0.178,-0.050,0.020,0.23,f,11,126,50,13,20,W,Simbad,NED,163.34988,16.77243
10,N3972,9.232,0.115,-0.050,0.020,0.12,f,12,78,50,6,15,W,Simbad,NED,178.93799,55.32067
11,N3982,9.042,0.051,-0.117,0.019,0.09,,16,24,50,10,20,VI,Simbad,NED,179.11737,55.12536
12,N4038,9.113,0.046,-0.041,0.009,0.14,,15,32,50,9,28,VI,Simbad,NED,180.47084,-18.86759
13,N4258,8.981,0.021,-0.018,0.002,0.12,,39,244,100,29,5,N,Simbad,NED,184.74008,47.30372
14,N4424,9.000,0.081,-0.050,0.020,0.08,f,13,7,50,3,15,W,Simbad,NED,186.79823,9.42064
15,N4536,9.071,0.033,-0.036,0.004,0.06,,20,48,50,17,10,VI,Simbad,NED,188.61304,2.18788
16,N4639,9.072,0.054,-0.089,0.010,0.13,,15,32,50,10,20,VI,Simbad,NED,190.71824,13.25742
17,N5584,8.968,0.040,-0.067,0.007,0.06,,13,199,45,18,20,VI,Simbad,NED,215.59921,-0.38745
18,N5917,8.577,0.034,,,0.03,f,11,15,50,5,25,W,Simbad,NED,230.38563,-7.37709
19,N7250,8.605,0.033,,,0.03,f,11,29,50,11,15,W,Simbad,NED,334.57407,40.56241
20,U9391,8.936,0.167,-0.050,0.020,0.17,f,12,32,50,8,25,W,Simbad,NED,218.65422,59.33783
