recno,Gal,Field,PropID,Cam,Date,F555W,F814W,F350LP,Flag
1,M101,F1,10918,ACS,2006-12-23,1300,724,,A
2,M101,F1,10918,ACS,2006-12-24,1300,724,,A
3,M101,F1,10918,ACS,2006-12-25,1300,724,,A
4,M101,F1,10918,ACS,2006-12-26,1300,724,,A
5,M101,F1,10918,ACS,2006-12-28,1300,724,,A
6,M101,F1,10918,ACS,2006-12-30,1300,724,,A
7,M101,F1,10918,ACS,2007-01-01,1300,724,,A
8,M101,F1,10918,ACS,2007-01-04,1300,724,,A
9,M101,F1,10918,ACS,2007-01-07,1300,724,,A
10,M101,F1,10918,ACS,2007-01-11,1300,724,,A
11,M101,F1,10918,ACS,2007-01-17,1300,724,,A
12,M101,F1,10918,ACS,2007-01-21,1300,724,,A
13,M101,F1,12880,WFC3,2013-03-03,472,472,,A
14,M101,F1,12880,WFC3,2013-03-10,472,472,,A
15,M101,F2,10918,ACS,2006-12-25,1300,724,,A
16,M101,F2,10918,ACS,2006-12-26,1300,724,,A
17,M101,F2,10918,ACS,2006-12-28,1300,724,,A
18,M101,F2,10918,ACS,2006-12-30,1300,724,,A
19,M101,F2,10918,ACS,2006-12-31,1300,724,,A
20,M101,F2,10918,ACS,2007-01-01,1300,724,,A
21,M101,F2,10918,ACS,2007-01-05,1300,724,,A
22,M101,F2,10918,ACS,2007-01-07,1300,724,,A
23,M101,F2,10918,ACS,2007-01-10,1300,724,,A
24,M101,F2,10918,ACS,2007-01-14,1300,724,,A
25,M101,F2,10918,ACS,2007-01-18,1300,724,,A
26,M101,F2,10918,ACS,2007-01-23,1300,724,,A
27,M101,F2,12880,WFC3,2013-03-11,472,472,,A
28,M101,F2,12880,WFC3,2013-03-18,472,472,,A
29,N1015,,12880,WFC3,2013-06-30,480,600,2288,A
30,N1015,,12880,WFC3,2013-07-10,480,600,2288,A
31,N1015,,12880,WFC3,2013-07-20,480,600,2288,A
32,N1015,,12880,WFC3,2013-07-30,480,600,2288,A
33,N1015,,12880,WFC3,2013-08-08,480,600,2288,A
34,N1015,,12880,WFC3,2013-08-16,,,2288,A
35,N1015,,12880,WFC3,2013-08-21,480,600,2288,A
36,N1015,,12880,WFC3,2013-08-31,480,600,2288,A
37,N1015,,12880,WFC3,2013-09-09,480,600,2288,A
38,N1015,,12880,WFC3,2013-09-16,480,600,2288,A
39,N1015,,12880,WFC3,2013-09-26,480,600,2288,A
40,N1015,,12880,WFC3,2013-10-08,480,1080,2288,A
41,N1309,,10497,ACS,2005-08-06,4800,4800,,A
42,N1309,,10497,ACS,2005-08-17,4800,,,A
43,N1309,,10497,ACS,2005-08-24,4800,4800,,A
44,N1309,,10497,ACS,2005-08-27,4800,,,A
45,N1309,,10497,ACS,2005-09-02,4800,,,A
46,N1309,,10497,ACS,2005-09-03,4800,,,A
47,N1309,,10497,ACS,2005-09-05,4800,4800,,A
48,N1309,,10497,ACS,2005-09-07,4800,,,A
49,N1309,,10497,ACS,2005-09-10,4800,,,A
50,N1309,,10497,ACS,2005-09-16,4800,4800,,A
51,N1309,,10497,ACS,2005-09-20,4800,,,A
52,N1309,,10497,ACS,2005-09-27,4800,4800,,A
53,N1309,,10802,ACS,2006-10-07,2080,,,A
54,N1309,,10802,ACS,2006-10-24,2080,,,A
55,N1309,,12880,WFC3,2013-01-04,1136,1136,,A
56,N1365,,5972,WFPC2,1995-08-06,5100,5400,,A
57,N1365,,5972,WFPC2,1995-08-14,5100,5400,,A
58,N1365,,5972,WFPC2,1995-08-21,5100,,,A
59,N1365,,5972,WFPC2,1995-08-24,5100,,,A
60,N1365,,5972,WFPC2,1995-08-26,5100,,,A
61,N1365,,5972,WFPC2,1995-08-29,5100,5000,,A
62,N1365,,5972,WFPC2,1995-09-01,5100,,,A
63,N1365,,5972,WFPC2,1995-09-05,5100,,,A
64,N1365,,5972,WFPC2,1995-09-08,5100,,,A
65,N1365,,5972,WFPC2,1995-09-13,5100,,,A
66,N1365,,5972,WFPC2,1995-09-19,5100,5400,,A
67,N1365,,5972,WFPC2,1995-09-24,5100,,,A
68,N1365,,6431,WFPC2,1997-08-23,5500,,,A
69,N1365,,12880,WFC3,2013-08-06,470,590,,A
70,N1365,,12880,WFC3,2013-08-12,470,590,,A
71,N1365,,12880,WFC3,2013-08-18,470,590,,A
72,N1448,,12880,WFC3,2013-09-01,930,,1200,A
73,N1448,,12880,WFC3,2013-09-08,,930,1200,A
74,N1448,,12880,WFC3,2013-09-15,,,1155,A
75,N1448,,12880,WFC3,2013-09-23,,,1155,A
76,N1448,,12880,WFC3,2013-09-30,,,1155,A
77,N1448,,12880,WFC3,2013-10-06,,930,1182,A
78,N1448,,12880,WFC3,2013-10-13,,,1155,A
79,N1448,,12880,WFC3,2013-10-19,,,1155,A
80,N1448,,12880,WFC3,2013-10-28,930,,1200,A
81,N1448,,12880,WFC3,2013-11-05,,930,1200,A
82,N1448,,12880,WFC3,2013-11-08,,,1155,A
83,N2442,,13646,WFC3,2016-01-21,,,1260,A
84,N2442,,13646,WFC3,2016-01-31,976,,1260,A
85,N2442,,13646,WFC3,2016-02-08,,,1260,A
86,N2442,,13646,WFC3,2016-02-17,,976,1260,A
87,N2442,,13646,WFC3,2016-02-23,,,1260,A
88,N2442,,13646,WFC3,2016-02-28,976,,1260,A
89,N2442,,13646,WFC3,2016-03-04,,,1260,A
90,N2442,,13646,WFC3,2016-03-10,,967,1260,A
91,N2442,,13646,WFC3,2016-03-15,,,1260,A
