recno,Gal,ID,RAJ2000,DEJ2000,F555W,e_F555W,F814W,e_F814W
1,M101,190735,210.89053,54.37253,21.333,9,20.966,9
2,M101,329066,210.85711,54.37351,21.459,10,21.194,7
3,M101,258240,210.86774,54.36504,21.630,11,21.655,6
4,M101,240467,210.85522,54.34199,21.873,17,20.759,12
5,M101,317746,210.85746,54.37030,21.922,9,20.933,10
6,M101,223425,210.86118,54.34455,21.987,19,22.005,8
7,M101,24080,210.92019,54.35739,22.009,13,21.614,14
8,M101,281476,210.84399,54.34007,22.209,18,21.958,11
9,M101,262122,210.85740,54.35214,22.316,7,22.101,6
10,M101,229885,210.86358,54.34999,22.369,6,22.183,12
11,M101,233803,210.88016,54.37402,22.373,6,22.210,9
12,M101,164292,210.88981,54.36297,22.378,12,22.303,7
13,M101,168733,210.88384,54.35622,22.395,16,22.327,10
14,M101,218922,210.88523,54.37607,22.425,11,22.180,6
15,M101,188928,210.88631,54.36615,22.444,9,22.212,8
16,M101,122796,210.89110,54.35164,22.516,12,20.601,10
17,M101,112457,210.90588,54.36864,22.518,7,22.422,7
18,M101,227821,210.86964,54.35763,22.519,12,22.193,7
19,M101,329177,210.85549,54.37132,22.569,12,22.291,7
20,M101,308084,210.86367,54.37572,22.592,9,22.338,6
21,M101,207053,210.87951,54.36307,22.623,7,21.792,7
22,M101,57058,210.91822,54.36732,22.655,8,22.205,8
23,M101,261569,210.86942,54.36842,22.708,9,22.363,8
24,M101,272073,210.85238,54.34854,22.745,9,22.259,15
25,M101,296782,210.84594,54.34774,22.830,7,22.241,8
26,M101,179803,210.89900,54.38058,21.978,7,19.335,11
27,M101,86911,210.88870,54.33688,20.444,10,19.522,11
28,M101,201610,210.88393,54.36707,20.794,13,20.426,10
29,M101,244290,210.86993,54.36346,21.316,10,20.495,7
30,M101,124566,210.90388,54.36971,23.052,45,20.528,12
31,M101,299645,210.86302,54.37211,21.516,20,20.561,37
32,M101,238281,210.85930,54.34689,20.590,12,20.546,9
33,M101,116977,210.88087,54.33575,23.770,22,20.701,17
34,M101,90193,210.90185,54.35601,22.590,18,20.662,24
35,M101,366578,210.84378,54.36718,21.559,7,20.700,5
36,M101,361158,210.85594,54.38214,22.138,12,20.698,11
37,M101,307634,210.86304,54.37471,21.600,8,20.781,8
38,M101,105457,210.88126,54.33266,22.721,10,20.827,9
39,M101,224152,210.87296,54.36097,21.660,8,20.805,8
40,M101,72026,210.91180,54.36361,23.209,11,20.845,9
41,M101,149610,210.87987,54.34464,23.180,7,20.844,7
42,M101,91863,210.90549,54.36153,23.799,12,20.856,11
43,M101,249001,210.84872,54.33586,21.723,9,20.849,5
44,M101,262084,210.87051,54.37009,21.843,11,20.922,8
45,M101,290179,210.85694,54.36068,21.572,14,21.021,10
46,M101,112384,210.89401,54.35232,22.200,6,21.056,6
47,M101,220926,210.86663,54.35122,24.231,41,21.111,19
48,M101,249733,210.85874,54.34989,24.669,30,21.169,15
49,M101,226930,210.87891,54.37004,21.801,6,21.194,9
50,M101,88159,210.89752,54.34941,23.957,13,21.206,7
51,M101,300004,210.71893,54.36317,20.819,10,20.673,6
52,M101,360648,210.68491,54.33639,21.040,7,20.692,8
53,M101,31364,210.74195,54.30643,21.551,15,20.957,13
54,M101,371702,210.68499,54.34115,21.912,7,21.773,6
55,M101,112507,210.75631,54.35374,22.271,11,22.093,7
56,M101,111264,210.75638,54.35341,22.435,7,22.230,7
57,M101,273123,210.71097,54.34257,22.440,12,22.205,12
58,M101,35424,210.75104,54.32085,22.453,8,22.192,10
59,M101,199715,210.71501,54.32244,22.565,10,22.482,10
60,M101,303713,210.69491,54.32980,22.624,5,22.244,5
61,M101,389150,210.68477,54.34927,22.762,8,22.577,7
62,M101,42324,210.75384,54.32715,22.767,11,22.774,9
63,M101,223987,210.71350,54.32831,22.747,10,22.755,17
64,M101,176402,210.73530,54.34414,22.901,16,22.023,11
65,M101,78697,210.74116,54.32088,22.914,9,21.633,8
66,M101,365714,210.68837,54.34350,22.893,8,22.894,5
67,M101,110083,210.73151,54.31720,23.034,6,21.302,7
68,M101,119441,210.74731,54.34302,23.046,7,22.393,6
69,M101,289629,210.69846,54.33013,23.091,7,23.164,10
70,M101,79416,210.76551,54.35618,23.123,8,23.049,9
71,M101,390264,210.68813,54.35483,23.146,16,22.731,11
72,M101,188183,210.73301,54.34470,23.250,8,23.028,9
73,M101,354352,210.68652,54.33607,23.251,7,23.281,7
74,M101,386871,210.69149,54.35763,23.271,9,23.015,10
75,M101,61164,210.73774,54.31019,23.216,9,19.940,8
76,M101,173007,210.72573,54.32923,21.738,10,20.496,7
77,M101,381252,210.69408,54.35854,24.261,8,20.625,7
78,M101,272948,210.70141,54.32875,22.481,8,20.661,7
79,M101,230801,210.70875,54.32406,22.007,14,20.688,7
80,M101,96026,210.73289,54.31461,21.445,19,20.788,25
81,M101,239832,210.71580,54.33839,21.420,15,20.763,8
82,M101,281987,210.70885,54.34254,21.558,8,20.760,10
83,M101,246782,210.70295,54.32222,23.397,14,20.850,10
84,M101,278570,210.71406,54.34890,22.303,15,20.857,8
85,M101,70305,210.76850,54.35749,21.356,15,20.853,7
86,M101,402152,210.68482,54.35834,21.150,16,20.855,6
87,M101,260478,210.70042,54.32312,21.959,11,21.010,10
88,M101,242708,210.71454,54.33759,21.782,12,21.171,13
89,M101,138944,210.75213,54.35622,21.827,11,21.130,17
90,M101,362482,210.67333,54.32040,23.790,6,21.147,7
91,M101,258728,210.70726,54.33245,23.858,14,21.159,11
92,M101,361894,210.69438,54.35054,24.176,12,21.180,9
93,M101,93781,210.73530,54.31734,23.123,21,22.405,22
94,M101,293383,210.72206,54.36541,24.729,12,21.242,5
95,M101,267777,210.70145,54.32705,23.260,16,21.307,10
96,M101,249654,210.71567,54.34153,21.627,17,21.314,8
97,M101,303162,210.70025,54.33733,23.944,14,21.334,6
98,M101,172118,210.71296,54.31052,25.972,27,21.537,31
99,M101,310163,210.69193,54.32775,24.250,18,21.452,11
100,M101,97700,210.73768,54.32206,25.047,19,21.477,10
101,N1015,3305,39.53225,-1.31170,24.569,45,24.366,44
102,N1015,1108,39.52422,-1.32424,24.714,43,22.821,21
103,N1015,142116,39.55462,-1.33357,24.715,49,24.387,31
104,N1015,10154,39.53042,-1.32451,25.079,47,24.916,38
105,N1015,159243,39.57125,-1.31141,25.101,51,25.181,40
106,N1015,30784,39.54720,-1.29751,25.214,45,25.162,34
107,N1015,155387,39.56798,-1.31443,25.381,52,25.232,47
108,N1015,9520,39.53857,-1.30373,25.390,47,25.228,45
109,N1015,132060,39.56163,-1.30977,25.437,46,25.539,67
110,N1015,152256,39.56050,-1.32891,25.593,51,25.671,45
111,N1015,121270,39.56159,-1.30384,25.647,54,25.393,52
112,N1015,10190,39.54198,-1.29592,25.653,53,25.712,38
113,N1015,4428,39.53428,-1.30848,25.726,59,25.445,46
114,N1015,18373,39.54473,-1.29571,25.759,61,25.623,47
115,N1015,33523,39.53595,-1.32689,25.783,73,25.763,80
116,N1015,11400,39.54166,-1.29779,25.796,45,25.654,60
117,N1015,8724,39.53178,-1.31976,25.834,43,25.237,40
118,N1015,47501,39.53701,-1.33136,25.839,55,25.443,40
119,N1015,3906,39.53279,-1.31136,26.007,58,25.494,33
120,N1015,5256,39.53410,-1.31011,26.007,57,25.873,40
121,N1015,37375,39.54725,-1.30094,26.014,59,25.808,65
122,N1015,10006,39.53644,-1.30949,26.073,58,25.925,52
123,N1015,15093,39.54119,-1.30197,26.129,62,26.050,46
124,N1015,12622,39.54031,-1.30215,26.145,59,25.862,68
125,N1015,155591,39.56069,-1.33274,26.162,61,24.311,31
126,N1015,3590,39.53224,-1.31221,26.163,52,25.386,62
127,N1015,13484,39.53910,-1.30587,26.200,43,24.138,28
128,N1015,1647,39.53282,-1.30591,26.208,56,25.884,34
129,N1015,9619,39.53699,-1.30776,26.211,72,23.751,30
130,N1015,114559,39.55900,-1.30691,26.289,75,26.223,69
