recno,Gal,RAJ2000,DEJ2000,ID,Per,F555W,e_F555W,F814W,e_F814W,AmpV,AmpI,AmpWh,Z,Flag,Ref,R16,RCat,SimbadName
1,M101,210.69896,54.36145,371996,5.016,26.198,46,25.322,34,0.950,0.668,,9.096,O,S11,0,0,[HMR2016] M101  371996
2,M101,210.91264,54.34753,25168,5.060,25.964,44,25.100,33,1.012,0.608,,9.077,OH,S11,1,0,[HMR2016] M101  25168
3,M101,210.71027,54.31466,196870,5.066,26.251,26,25.139,20,0.776,0.584,,9.089,OH,S11,1,0,[HMR2016] M101  196870
4,M101,210.66898,54.32655,389294,5.145,26.091,29,25.253,22,0.764,0.438,,9.031,O,S11,0,0,[HMR2016] M101  389294
5,M101,210.71867,54.32853,202091,5.261,25.912,32,24.995,25,0.634,0.406,,9.126,OH,S11,1,0,[HMR2016] M101  202091
6,M101,210.89127,54.35620,136682,5.358,25.927,30,24.850,22,0.826,0.456,,9.118,OH,S11,1,0,[HMR2016] M101  136682
7,M101,210.88545,54.36866,200074,5.450,25.877,34,24.850,22,0.706,0.328,,9.119,O,S11,0,0,[HMR2016] M101  200074
8,M101,210.68791,54.36025,398859,5.506,26.114,48,25.257,38,0.840,0.552,,9.075,O,S11,0,0,[HMR2016] M101  398859
9,M101,210.72162,54.34015,224407,5.566,26.328,36,25.252,42,0.680,0.332,,9.143,OH,S11,1,0,[HMR2016] M101  224407
10,M101,210.69714,54.33675,314474,5.567,25.847,30,24.978,23,0.606,0.336,,9.093,O,S11,0,0,[HMR2016] M101  314474
11,M101,210.85670,54.39081,385340,5.623,26.092,40,25.214,32,0.820,0.596,,9.120,O,S11,0,0,[HMR2016] M101  385340
12,M101,210.90146,54.32902,17723,5.671,26.365,27,25.377,20,0.500,0.340,,9.088,OH,,1,0,[HMR2016] M101  17723
13,M101,210.70174,54.36899,380072,5.796,25.869,22,24.953,32,0.728,0.450,,9.094,O,S11,0,0,[HMR2016] M101  380072
14,M101,210.74564,54.33090,90168,5.980,25.940,21,24.873,17,0.742,0.456,,9.177,OH,S11,1,0,[HMR2016] M101  90168
15,M101,210.69290,54.35272,372009,6.050,25.599,31,24.653,27,0.806,0.286,,9.088,O,S11,0,0,[HMR2016] M101  372009
16,M101,210.69016,54.34508,363373,6.059,26.135,31,25.152,29,0.648,0.464,,9.083,OH,S11,1,0,[HMR2016] M101  363373
17,M101,210.70807,54.31847,218108,6.080,25.965,37,25.131,34,0.852,0.720,,9.092,OH,S11,1,0,[HMR2016] M101  218108
18,M101,210.88773,54.38451,234212,6.100,25.900,26,24.932,19,0.540,0.338,,9.090,O,S11,0,0,[HMR2016] M101  234212
19,M101,210.74535,54.30369,7864,6.135,26.106,35,25.217,31,0.788,0.514,,9.114,O,S11,0,0,[HMR2016] M101  7864
20,M101,210.89297,54.34535,94991,6.161,25.537,27,24.746,25,0.692,0.420,,9.116,O,S11,0,0,[HMR2016] M101  94991
21,M101,210.72067,54.34136,230998,6.163,25.962,29,24.962,25,0.590,0.340,,9.141,OH,S11,1,0,[HMR2016] M101  230998
