recno,Gal,Name,RAJ2000,DEJ2000,r,Z,e_Z,Simbad
1,N1015,H11,02 38 09.60,-01 18 52.06,6.45,9.037,0.112,Simbad
2,N1015,H12,02 38 10.66,-01 18 32.66,11.93,9.139,0.065,Simbad
3,N1015,H03,02 38 12.79,-01 18 24.35,16.59,8.904,0.215,Simbad
4,N1015,H09,02 38 11.78,-01 18 28.13,14.17,8.864,0.561,Simbad
5,N1309,H12,03 22 03.43,-15 23 48.90,7.30,8.660,0.012,Simbad
6,N1309,H15,03 22 03.56,-15 24 02.60,6.96,8.765,0.006,Simbad
7,N1309,H03,03 22 07.24,-15 23 41.62,2.32,9.117,0.001,Simbad
8,N1309,H07,03 22 05.68,-15 23 46.20,3.13,9.042,0.011,Simbad
9,N1309,H08,03 22 05.05,-15 23 54.60,3.97,9.033,0.002,Simbad
10,N1309,H11,03 22 08.74,-15 23 12.38,7.04,8.907,0.008,Simbad
11,N1365,H01,03 33 35.11,-36 06 40.66,10.49,8.730,0.042,Simbad
12,N1365,H02,03 33 32.23,-36 06 40.31,12.64,9.053,0.005,Simbad
13,N1365,H03,03 33 31.62,-36 07 05.65,11.11,8.987,0.028,Simbad
14,N1365,H06,03 33 29.20,-36 08 22.65,9.56,8.858,0.020,Simbad
15,N1365,H07,03 33 37.74,-36 08 06.33,2.11,9.354,0.003,Simbad
16,N1365,H08,03 33 43.01,-36 08 14.94,8.49,9.299,0.023,Simbad
17,N1365,H09,03 33 43.03,-36 09 28.90,11.98,8.905,0.030,Simbad
18,N1365,H11,03 33 42.84,-36 09 41.98,12.67,9.009,0.031,Simbad
19,N1365,H12,03 33 38.60,-36 10 48.01,14.63,8.790,0.041,Simbad
20,N1365,H13,03 33 34.63,-36 06 05.07,14.09,8.970,0.100,Simbad
21,N1365,H16,03 33 45.04,-36 10 17.25,17.67,8.578,0.012,Simbad
22,N1448,H02,03 44 22.20,-44 40 06.70,12.23,8.536,0.025,Simbad
23,N1448,H07,03 44 31.69,-44 38 31.78,2.01,9.168,0.015,Simbad
24,N1448,H11,03 44 40.00,-44 36 35.42,13.20,8.843,0.020,Simbad
25,N1448,H12b,03 44 41.71,-44 35 57.77,17.31,8.635,0.050,Simbad
26,N1448,H13,03 44 43.86,-44 36 15.61,15.93,8.789,0.022,Simbad
27,N1448,H12a,03 44 41.71,-44 35 57.77,17.31,8.808,0.067,Simbad
28,N3021,H13,09 50 58.17,+33 33 12.56,1.67,9.211,0.007,Simbad
29,N3021,H18a,09 50 55.27,+33 33 14.36,3.30,9.134,0.007,Simbad
30,N3021,H02a,09 50 59.68,+33 33 14.81,4.52,8.768,0.060,Simbad
31,N3021,H02b,09 50 59.17,+33 33 12.50,3.42,9.118,0.007,Simbad
32,N3021,H05,09 50 58.58,+33 33 18.24,3.03,9.123,0.005,Simbad
33,N3021,H11a,09 50 58.73,+33 33 06.68,2.53,9.275,0.006,Simbad
34,N3021,H11b,09 50 58.73,+33 33 06.68,2.53,9.212,0.004,Simbad
35,N3021,H18b,09 50 55.27,+33 33 14.36,3.30,9.149,0.006,Simbad
36,N3021,H02c,09 50 59.17,+33 33 12.50,3.42,9.176,0.004,Simbad
37,N3021,H08,09 50 58.03,+33 33 19.46,2.36,9.254,0.015,Simbad
