RAJ2000,DEJ2000,ACS,Zmag,MType,Note
52.981709,-27.758799,44,22.0062,6,pec dustlane edge
52.984218,-27.753708,44,19.8704,-2,
52.984898,-27.753589,44,21.1501,-2,
52.988747,-27.760125,44,22.0985,1,
52.989043,-27.710894,44,19.7376,8,edge
52.990109,-27.751175,44,21.7387,3,
52.991008,-27.712554,44,20.1662,1,
52.992226,-27.749823,44,20.4841,1,
52.992263,-27.756815,44,21.8111,4,diffuse
52.992503,-27.71967,44,21.6639,4,
52.994563,-27.750081,44,20.3489,3,
52.995449,-27.717803,44,21.9167,6,MODIFIED
52.9957,-27.720883,44,19.5724,3,
52.996897,-27.728162,44,22.3138,7,barred
52.996943,-27.712723,44,21.2012,3,repeat of 13
52.997177,-27.717285,44,19.82,-2,
52.998269,-27.752948,44,18.1416,-2,disturbed late merger?
52.998997,-27.736513,44,21.1365,1,poss distorted E? MODIFIED
52.999275,-27.711372,44,22.2393,4,
52.999485,-27.735325,44,21.9845,5,S+S
52.999871,-27.746628,44,22.2509,-1,diffuse assym
53.000445,-27.720939,44,22.0525,1,diffuse
53.00056,-27.748161,44,21.7011,5,
53.000613,-27.760432,44,21.5241,4,
53.000911,-27.757429,44,20.2816,2,
53.001478,-27.722125,44,22.033,-1,diffuse arms
53.001483,-27.701109,45,22.4632,4,
53.002171,-27.718875,44,21.7275,-2,MODIFIED
53.002265,-27.750363,44,20.5799,2,edgeon no bulge
53.002319,-27.725625,44,22.2385,4,
53.00249,-27.756004,44,22.1788,4,edge
53.002658,-27.746841,44,22.4702,6,Scd+comp
53.003182,-27.754091,44,21.9832,8,barred sl asymm
53.003404,-27.731696,44,22.3675,2,
53.003733,-27.735784,44,21.0625,2,diffuse
53.003784,-27.711373,44,20.0814,4,v diffuse
53.00406,-27.771,43,22.3444,7,v diffuse
53.004301,-27.731806,44,21.914,2,
53.004436,-27.769987,44,20.4901,4,
53.004629,-27.725285,44,21.6707,5,
53.00563,-27.76122,44,22.3111,1,
53.005873,-27.760416,44,21.3696,-2,S+S
53.007094,-27.738084,44,20.0401,-2,
53.008932,-27.766937,44,21.5664,4,poss disturbed
53.009006,-27.763128,44,22.1665,2,
53.009315,-27.713472,44,22.3918,6,diffuse arms
53.010465,-27.759991,44,22.2602,0,
53.010839,-27.699577,45,21.883,4,
53.011222,-27.708343,44,22.144,6,diffuse
53.0113,-27.719671,44,18.1641,0,
