_RA,_DE,PGC,Name,DM,b_DM
0.49125,-15.46389,143,DDO221,24.95,24.86
2.05583,-34.57806,621,ESO349-031,27.53,27.49
3.51662,-23.18209,930,NGC45,29.1,29.02
3.72334,-39.19663,1014,NGC55,26.62,26.59
3.88104,-32.17981,1038,ESO410-005,26.42,26.38
5.0965,59.29297,1305,IC10,23.52,23.48
6.63917,-41.85611,1641,ESO294-010,26.45,26.41
8.3005,48.50874,2004,NGC147,24.32,24.25
9.74154,48.33738,2329,NGC185,24.04,24.02
10.09198,41.6853,2429,NGC205,24.49,24.47
10.76592,-22.24689,2578,DDO226,28.45,28.33
11.78564,-20.7604,2758,NGC247,27.88,27.85
11.88804,-25.28828,2789,NGC253,27.82,27.79
12.33792,-18.07611,2881,ESO540-030,27.75,27.71
12.45542,-21.01611,2902,DDO6,27.67,27.57
12.60208,-19.90639,2933,ESO540-032,27.79,27.76
13.72283,-37.68438,3238,NGC300,26.59,26.54
16.19917,2.11778,3844,IC1613,24.38,24.34
16.84396,16.68419,3974,UGC685,28.42,28.4
23.4621,30.65994,5818,M33,24.82,24.76
23.7693,-41.4362,5896,NGC625,28.12,28.09
26.26542,-43.59778,6430,ESO245-05,28.29,28.23
27.38212,32.58783,6699,UGC1281,28.63,28.61
30.32055,28.83726,7671,NGC784,28.68,28.66
44.21,-54.57139,11139,ESO154-23,28.84,28.82
49.56686,-66.49826,12286,NGC1313,28.21,28.19
50.02894,-52.18549,12460,NGC1311,28.73,28.71
53.3024,-50.4142,13163,IC1959,29.03,28.99
59.95583,67.14389,14241,UGCA86,27.47,27.45
68.02042,63.61361,15439,UGCA92,27.46,27.43
68.20453,71.88311,15488,NGC1560,27.57,27.5
78.56208,62.58,16957,UGCA105,27.71,27.38
93.97583,-57.72528,18731,ESO121-20,28.9,28.85
112.21604,69.20864,21102,NGC2366,27.57,27.55
112.82583,-68.18778,21199,ESO059-01,28.26,28.23
113.54792,66.87972,21302,DDO44,27.36,27.27
114.21415,65.60255,21396,NGC2403,27.5,27.45
115.47992,16.80331,21600,UGC3974,29.62,29.59
115.63208,16.56139,21614,KK65,29.55,29.51
124.77074,70.72003,23324,UGC4305,27.67,27.65
125.97958,71.03222,23521,M81DwA,27.66,27.6
127.1185,41.85669,23769,DDO52,30.08,30.04
128.53037,66.18183,24050,UGC4459,27.82,27.8
129.26371,69.77478,24213,UGC4483,27.62,27.42
141.54805,-76.62632,26761,NGC2915,28.04,28.01
145.13471,71.18222,27605,UGC5139,28.0,27.97
146.81441,67.91638,28120,NGC2976,27.77,27.74
148.88822,69.06529,28630,NGC3031,27.68,27.59
148.96746,69.68022,28655,M82,27.73,27.71
149.2625,68.59194,28731,KDG61,27.66,27.42
