galaxy,mu_true,mu_true_err,n_cepheids,source
NGC 925,29.80,0.04,73,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 1326A,31.04,0.09,7,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 1365,31.18,0.05,47,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 1425,31.60,0.05,20,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 2090,30.29,0.04,30,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 2403,27.48,0.24,10,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 2541,30.25,0.05,29,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3031,27.75,0.08,17,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3198,30.68,0.08,36,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3319,30.64,0.09,33,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3351,29.85,0.09,48,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3368,29.97,0.06,9,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3621,29.08,0.06,59,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3627,29.86,0.08,16,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4258,29.44,0.07,15,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4321,30.78,0.07,42,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4414,31.10,0.05,8,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4496A,30.81,0.03,94,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4535,30.85,0.05,47,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4536,30.80,0.04,35,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4548,30.88,0.05,24,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4639,31.61,0.08,14,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4725,30.38,0.06,15,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 5253,27.56,0.14,4,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 5457,29.13,0.11,25,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
IC 4182,28.22,0.06,28,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 300,26.53,0.07,151,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3021,32.27,0.08,72,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3370,32.07,0.08,18,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 3972,31.58,0.12,78,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
NGC 4038,31.68,0.13,58,Freedman et al. 2001 Table 3 (J/ApJ/553/47)
