galaxy,mu_vih,mu_vih_err,mu_vi,mu_vi_err,source
NGC 1015,32.455,0.017,32.499,0.061,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 1309,32.422,0.028,32.498,0.035,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 1365,31.287,0.035,31.179,0.045,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 1448,31.191,0.048,31.420,0.041,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 2442,31.420,0.040,31.279,0.020,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 3021,32.402,0.012,32.297,0.071,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 3370,32.015,0.017,32.081,0.035,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 3447,31.910,0.040,32.046,0.025,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 3972,31.518,0.055,31.770,0.041,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 3982,31.646,0.021,31.587,0.041,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 4038,31.312,0.023,31.397,0.038,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 4258,29.460,0.069,29.269,0.060,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 4424,30.693,0.008,30.623,0.280,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 4536,30.870,0.009,30.803,0.055,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 4639,31.360,0.053,31.654,0.075,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 5457,28.987,0.015,28.890,0.015,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 5584,31.727,0.030,31.838,0.025,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 5917,32.246,0.010,32.118,0.055,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
NGC 7250,31.320,0.026,31.145,0.050,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
UGC 9391,32.868,0.003,32.784,0.075,Madore & Freedman 2023 (arXiv:2309.10859) Table 2
