AGC,RAJ2000,DEJ2000,cz,rgal,Vgal
331060,00 00 03.4,+23 05 15,4113,3909,160
12898,00 00 37.4,+33 36 02,4456,5848,-1310
12900,00 00 55.9,+20 20 17,6452,8528,-2104
36544,00 00 57.7,-33 36 47,6639,2919,3720
12901,00 00 58.9,+28 54 41,6559,6462,219
12913,00 01 36.7,+03 30 21,5979,5890,89
36558,00 01 57.6,-27 59 53,9427,9232,195
12920,00 02 23.0,+27 12 38,7271,6411,860
400001,00 02 34.7,-03 42 37,6110,7098,-988
100002,00 02 39.8,+08 44 13,5178,5274,-96
100920,00 02 40.6,+08 46 25,11722,10161,1561
3,00 02 46.3,+18 53 09,7533,7135,398
4,00 02 56.9,+04 12 32,8272,8770,-498
5,00 03 05.6,-01 54 51,6933,7986,-1053
8,00 03 14.8,+16 08 44,695,1527,-1016
10,00 03 20.5,+08 37 07,11584,6343,5241
14,00 03 35.1,+23 12 01,6908,5375,1533
400737,00 03 51.5,-50 46 01,11708,8141,3567
101122,00 03 51.7,+10 59 28,7624,8110,-486
19,00 03 59.0,+20 45 07,1960,2201,-783
20018,00 04 00.7,-51 23 35,10310,7475,2835
23,00 04 13.0,+10 47 25,7616,7312,304
400738,00 04 13.9,-51 13 25,10944,10705,239
20019,00 04 14.6,-50 38 48,11682,11503,179
24,00 04 14.7,+22 35 16,4097,3852,217
25,00 04 25.1,+06 10 40,4712,5634,-794
27,00 04 29.1,+05 50 44,2754,3208,-471
34,00 05 06.2,+06 55 12,5778,6156,-251
36,00 05 13.8,+06 46 19,5940,6497,-592
20034,00 05 28.2,-49 37 00,10490,9902,588
20033,00 05 28.2,-50 16 12,10185,11200,-1015
40,00 05 48.4,+27 26 56,7189,7096,166
41,00 05 56.0,+22 29 31,6250,6089,161
400739,00 06 22.5,-50 10 00,10462,11822,-1360
51,00 06 40.3,+05 06 48,5013,7103,-2141
100040,00 06 47.7,+04 56 13,4927,5742,-815
53,00 06 50.3,+19 19 17,7543,7425,118
20073,00 06 52.7,-50 24 53,9508,7515,1993
100044,00 07 11.7,+13 45 59,5056,5199,-143
57,00 07 15.9,+27 42 28,4218,5095,-877
59,00 07 17.1,+27 40 40,7211,5595,1667
60,00 07 19.5,+32 36 32,4750,5435,-631
65,00 08 01.6,+33 04 13,4571,5565,-1083
68,00 08 10.2,+27 00 13,8438,5178,3260
69,00 08 10.9,+27 31 39,4304,3415,807
20097,00 08 21.3,-29 55 03,1212,1609,-397
101097,00 08 23.9,+33 01 42,4631,5707,-1076
20098,00 08 33.2,-33 51 29,6535,7562,-1027
20099,00 08 39.9,-50 37 05,9837,7665,2172
77,00 08 47.7,+33 25 57,4489,4106,376
76,00 08 49.3,+24 32 24,4238,5242,-1020
20103,00 09 04.2,-32 54 54,6552,7258,-706
79,00 09 04.4,+25 37 05,3999,5175,-953
86,00 09 48.2,+27 49 55,7980,7962,-83
20112,00 09 51.4,-64 22 18,1720,2394,-692
89,00 09 53.3,+25 55 26,4226,3732,490
20114,00 09 56.3,-24 57 53,252,69,-38
92,00 10 01.9,+28 12 36,7838,884,6995
101063,00 10 18.7,+29 08 17,7719,7769,-50
20117,00 10 19.9,-46 25 05,5793,5945,-152
94,00 10 26.0,+25 49 55,4253,4471,-249
95,00 10 26.4,+28 59 16,6705,10880,-4175
96,00 10 32.7,+28 59 47,7517,6898,619
101121,00 10 34.4,+06 11 00,12529,12981,-452
98,00 10 40.8,+32 58 57,4466,4618,-136
100,00 10 47.0,+33 21 09,4444,5806,-1324
20127,00 11 12.7,-33 34 48,7574,7214,360
105,00 11 14.3,+28 54 23,7713,5811,1902
106,00 11 22.4,+06 23 21,5672,4737,935
101105,00 11 27.8,+27 47 25,7068,9148,-2080
108,00 11 45.1,+28 29 56,7709,9722,-1843
111,00 12 09.0,+12 02 42,5996,4844,1152
113,00 12 15.7,+22 19 16,7288,7641,-353
139,00 14 31.8,-00 44 16,3604,4332,-728
140,00 14 40.2,+18 34 55,5051,6170,-1136
148,00 15 51.4,+16 05 22,3858,3239,619
149,00 15 57.5,+14 04 34,5122,5923,-801
100921,00 16 01.1,+16 01 33,8011,10745,-2734
152,00 16 28.5,+29 55 25,4535,4815,-268
155,00 16 44.2,+07 04 35,3613,4181,-568
158,00 17 05.1,+42 09 40,4767,5627,-860
20206,00 17 09.0,-19 18 02,2865,3244,-379
163,00 17 19.2,+06 43 20,5300,6920,-1551
400180,00 17 30.3,-06 49 29,6967,7207,-240
166,00 17 35.8,+30 12 17,4505,4165,340
165,00 17 41.8,+24 40 03,5709,5893,-526
167,00 17 45.5,+11 27 01,803,1329,-541
100146,00 17 59.7,+24 33 45,5460,5940,-480
100151,00 18 25.2,+18 31 02,4878,5025,-147
179,00 19 00.6,+23 28 34,4122,4471,-307
20224,00 19 04.8,-22 55 20,7299,6047,1252
20226,00 19 09.3,-24 31 20,9550,8009,1541
20236,00 20 05.9,-54 31 26,8784,9221,-437
195,00 20 20.1,+07 41 00,5355,4712,657
204,00 21 17.5,+23 05 27,5374,4934,433
205,00 21 20.7,+17 20 25,4925,3506,1419
100184,00 21 28.9,+22 30 24,5471,6126,-655
207,00 21 31.1,+29 39 43,6701,6586,217
100188,00 21 33.6,+22 35 35,6292,7314,-1022
210,00 22 05.0,+23 44 12,4147,5011,-847
214,00 22 13.6,+10 29 28,5031,4097,934
215,00 22 26.4,+29 30 13,6766,5512,1291
