_RA,_DE,Rdisk
73.27958,67.09917,0.47
218.33465,26.99804,1.24
135.72232,20.07561,0.61
119.25428,14.39657,0.7
147.59487,31.48828,0.69
193.52187,27.14963,0.37
195.81973,-17.42303,1.22
198.61666,45.91976,1.02
198.97408,25.43615,1.95
15.71436,-65.60999,5.08
48.26977,-57.35725,1.51
204.335,-28.04417,0.46
131.82075,-20.03566,5.45
122.38583,22.55944,2.79
133.75583,19.75167,3.52
131.6575,18.89028,3.79
133.25833,18.43833,2.43
144.4025,21.77083,2.17
154.48458,21.06139,3.08
156.42542,22.42444,5.18
156.74583,22.22667,4.99
161.2586,22.05432,2.85
173.47625,19.355,3.56
171.575,18.83167,2.47
189.55542,22.29972,4.46
191.69708,21.80333,3.76
218.20042,22.76611,3.37
239.36451,20.66642,2.36
238.05,18.785,1.93
157.09784,68.41214,2.78
197.13159,24.70083,4.78
307.63708,60.35472,1.34
2.48559,-24.96313,1.34
3.72334,-39.19663,6.11
6.01182,16.48639,1.66
11.78564,-20.7604,3.74
13.17652,-31.20583,6.74
13.72283,-37.68438,1.75
30.93687,38.25867,8.72
35.63711,42.34832,2.55
39.82039,40.87229,1.61
41.64132,-0.24704,3.53
73.55625,-53.36106,0.39
112.21604,69.20864,0.65
114.21415,65.60255,1.39
133.17227,33.4218,2.18
140.51106,50.97648,3.64
143.04213,21.50083,2.33
141.54805,-76.62632,0.55
145.31917,35.88212,18.76
