# Homogeneous Kinematic Potential Catalog for SH0ES Host Galaxies
#
# Compatibility note: the filename and sigma_kms column are retained because
# historical pipeline steps consume them. sigma_kms is NOT a measured central
# stellar velocity dispersion. It is the declared potential-equivalent scale
# u_phi = V_rot / sqrt(2), computed from HyperLEDA's inclination-corrected
# maximum rotation velocity. The source V_rot and catalog uncertainty are
# preserved in adjacent columns.
#
# Query: http://atlas.obs-hp.fr/hyperleda/ledacat.cgi, fields vrot,e_vrot.
# Archive date: 2026-08-21. Reference: Makarov et al. 2014, A&A 570, A13.
# Rows 1-37 are the complete R22 SN-host set; final rows are ladder anchors.
# M1337 is Mrk 1337 (PGC 43690, SN 2006D), not NGC 1337.
galaxy,pgc,vrot_kms,vrot_error_kms,sigma_kms,error_kms,source_bibcode,source_url,method,notes,traceability_confidence,date_accessed
M 101,50063,274.1,10.2,193.817969,7.212489,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 50063: vrot=274.1 +/- 10.2 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
Mrk 1337,43690,122.1,6.7,86.337738,4.737615,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 43690: vrot=122.1 +/- 6.7 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 0691,6793,200.6,4.3,141.845620,3.040559,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 6793: vrot=200.6 +/- 4.3 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 1015,9988,120.7,4.2,85.347788,2.969848,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 9988: vrot=120.7 +/- 4.2 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 105,1583,234.9,9.1,166.099383,6.434672,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 1583: vrot=234.9 +/- 9.1 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 1309,12626,162.1,4.9,114.622009,3.464823,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 12626: vrot=162.1 +/- 4.9 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 1365,13179,198.3,3.0,140.219275,2.121320,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 13179: vrot=198.3 +/- 3.0 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 1448,13727,185.1,2.0,130.885465,1.414214,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 13727: vrot=185.1 +/- 2.0 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 1559,14814,134.3,1.7,94.964441,1.202082,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 14814: vrot=134.3 +/- 1.7 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 2442,21373,226.7,10.4,160.301107,7.353911,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 21373: vrot=226.7 +/- 10.4 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 2525,22721,126.8,3.1,89.661140,2.192031,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 22721: vrot=126.8 +/- 3.1 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 2608,24111,104.3,2.8,73.751237,1.979899,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 24111: vrot=104.3 +/- 2.8 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 3021,28357,136.7,4.0,96.661497,2.828427,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 28357: vrot=136.7 +/- 4.0 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
