PGC,galaxy_name,vrot_kms,S_total,X_i,X_i_unscreened,delta_mu,delta_mu_err,r22_matched
40809,NGC 4424,28.6,0.0270303739152203,-1.0232176553003722e-08,-7.998571129352108e-08,-0.1559999999999988,0.1564736399525492,True
143,WLM,26.2,1.0,-6.536341184989435e-09,-8.071738997038192e-08,-0.010000000000001563,0.07871467461661771,False
3844,IC 1613,26.8,1.0,-6.359429826076911e-09,-8.05404786114694e-08,-0.0799999999999983,0.06753517601961218,False
45314,IC 4182,39.4,1.0,-1.7190115022996886e-09,-7.590006028769218e-08,0.08899999999999864,0.07211102550927978,False
1014,NGC 0055,58.7,1.0,8.814057150840301e-09,-6.536699163455219e-08,-0.17600000000000193,0.04313930922024598,False
39600,NGC 4258,212.9,0.09568098445277634,1.3771945303221855e-08,1.6762593564327737e-07,-0.036999999999999034,0.09822932352408827,False
13179,NGC 1365,198.3,0.1292709906890823,1.792454121703198e-08,1.342268513206822e-07,-0.021999999999998465,0.106,True
2758,NGC 0247,84.5,1.0,2.936781910630759e-08,-4.4813229679084905e-08,-0.1930000000000014,0.04205948168962618,False
73049,NGC 7793,85.9,1.0,3.0694988093168344e-08,-4.348606069222415e-08,-0.13100000000000023,0.08944271909999159,False
3238,NGC 0300,89.4,1.0,3.410832030262684e-08,-4.007272848276566e-08,-0.26099999999999923,0.09219544457292887,False
63616,NGC 6822,92.4,1.0,3.714251700548505e-08,-3.7038531779907443e-08,-0.23300000000000054,0.07280109889280519,False
5818,NGC 0598 (M33),100.1,1.0,4.538864473341243e-08,-2.879240405198007e-08,-0.19399999999999906,0.09228217596047461,False
9332,NGC 0925,105.6,0.9406490568972323,4.8000625605563856e-08,-2.2498420847398762e-08,-0.0710000000000015,0.07211102550927978,False
32007,NGC 3351 (M95),150.7,0.4714380741611139,4.920825926859768e-08,4.180791236475654e-08,0.028999999999999915,0.09486832980505137,False
21396,NGC 2403,120.2,0.9406490568972323,6.525237005309176e-08,-4.1581649134445416e-09,0.03900000000000148,0.1118033988749895,False
32192,NGC 3368 (M96),202.2,0.4714380741611139,9.687463586279048e-08,1.4291637009594697e-07,-0.11100000000000065,0.10816653826391967,False
34695,NGC 3627 (M66),174.7,0.6967304549770724,1.0794331177546934e-07,8.525467175353821e-08,-0.23100000000000165,0.12806248474865697,False
51969,NGC 5643,171.2,0.7570263589915945,1.1308232225071192e-07,7.851952280173167e-08,0.12599999999999767,0.12167168939404104,True
13727,NGC 1448,185.1,0.7767538942827101,1.377004337835433e-07,1.0607190924227903e-07,-0.04299999999999926,0.09730878685915265,True
37967,NGC 4038,169.1,0.9317852262889048,1.3787329405639732e-07,7.454385725394369e-08,-0.06700000000000017,0.1818130908378162,True
2557,M 31,256.7,0.4714380741611139,1.6246919423431913e-07,2.82053537767966e-07,-0.13300000000000267,0.11981652640600128,False
50063,M 101,274.1,0.8089374852214116,3.2775763522637624e-07,3.334352722964997e-07,0.10800000000000054,0.08989438247187641,True
